HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
Milwaukee Bucks,Miami Heat,2019-10-26,0.1538,0.0164,1,1,0.6,0.4,0.4,0.6,0.7,0.5,1.0,1.0,117.0,120.0,111.0,101.0
Detroit Pistons,Philadelphia 76ers,2019-10-26,0.004,0.1143,2,1,0.3,0.6,0.3,0.7,0.5,0.4,0.5,1.0,109.5,107.0,113.5,93.0
Atlanta Hawks,Orlando Magic,2019-10-26,0.004,0.005,1,1,0.5,0.6,0.3,0.7,0.6,0.5,1.0,1.0,117.0,94.0,100.0,85.0
New York Knicks,Boston Celtics,2019-10-26,0.001,0.0333,2,2,0.3,0.5,0.3,0.7,0.3,0.6,0.0,0.5,110.0,102.5,116.5,106.5
Houston Rockets,New Orleans Pelicans,2019-10-26,0.125,0.0079,1,2,0.4,0.2,0.6,0.4,0.8,0.5,0.0,0.0,111.0,119.0,117.0,126.5
Chicago Bulls,Toronto Raptors,2019-10-26,0.0023,0.0179,2,2,0.2,0.7,0.1,0.9,0.2,0.5,0.5,0.5,117.5,118.0,114.0,117.0
Cleveland Cavaliers,Indiana Pacers,2019-10-26,0.0007,0.0196,1,1,0.0,0.3,0.5,0.5,0.4,0.2,0.0,0.0,85.0,110.0,94.0,119.0
San Antonio Spurs,Washington Wizards,2019-10-26,0.0164,0.0008,1,2,0.6,0.3,0.7,0.3,0.7,0.3,1.0,0.5,120.0,98.5,111.0,96.5
Utah Jazz,Sacramento Kings,2019-10-26,0.0714,0.0066,2,2,0.3,0.2,0.8,0.2,0.9,0.2,0.5,0.0,93.0,103.5,95.0,123.0
Phoenix Suns,LA Clippers,2019-10-26,0.002,0.1905,2,2,0.3,0.5,0.0,1.0,0.4,0.7,0.5,1.0,115.5,126.5,101.5,112.0
