HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
Memphis Grizzlies,Golden State Warriors,2019-11-19,0.001,0.0952,3,3,0.4,0.1,0.3,0.7,0.4,0.3,0.385,0.14300000000000002,110.1,108.8,118.8,119.0
New Orleans Pelicans,Portland Trail Blazers,2019-11-19,0.0079,0.0278,3,4,0.4,0.3,0.6,0.4,0.3,0.4,0.308,0.35700000000000004,115.7,112.5,120.0,115.4
Sacramento Kings,Phoenix Suns,2019-11-19,0.0066,0.002,3,3,0.5,0.6,0.5,0.5,0.5,0.4,0.41700000000000004,0.583,104.4,114.9,108.4,109.6
Los Angeles Lakers,Oklahoma City Thunder,2019-11-19,0.1818,0.004,4,3,0.9,0.4,0.4,0.6,0.8,0.2,0.846,0.385,110.8,105.6,100.6,105.8
