HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
Philadelphia 76ers,Minnesota Timberwolves,2019-10-30,0.1143,0.002,3,3,0.6,0.5,0.8,0.2,0.7,0.4,1.0,1.0,109.7,121.3,102.3,111.3
Cleveland Cavaliers,Chicago Bulls,2019-10-30,0.0007,0.0023,3,4,0.1,0.2,0.5,0.5,0.5,0.3,0.33299999999999996,0.25,102.3,104.3,107.3,110.3
Orlando Magic,New York Knicks,2019-10-30,0.005,0.001,3,4,0.4,0.4,0.6,0.4,0.8,0.1,0.33299999999999996,0.25,96.0,105.0,97.3,112.3
Toronto Raptors,Detroit Pistons,2019-10-30,0.0179,0.004,3,4,0.7,0.4,0.6,0.4,0.8,0.3,0.75,0.5,112.0,106.5,103.3,109.5
Boston Celtics,Milwaukee Bucks,2019-10-30,0.0333,0.1538,3,3,0.5,0.5,0.3,0.7,0.5,0.7,0.667,0.667,107.7,124.0,102.7,118.0
Brooklyn Nets,Indiana Pacers,2019-10-30,0.0179,0.0196,3,3,0.4,0.1,0.1,0.9,0.5,0.2,0.33299999999999996,0.0,124.0,101.0,123.3,108.3
Oklahoma City Thunder,Portland Trail Blazers,2019-10-30,0.004,0.0278,4,4,0.3,0.4,0.5,0.5,0.6,0.5,0.25,0.5,103.0,113.3,101.3,113.0
Washington Wizards,Houston Rockets,2019-10-30,0.0008,0.125,3,3,0.3,0.5,0.4,0.6,0.3,0.4,0.33299999999999996,0.667,106.3,117.7,105.7,117.3
Utah Jazz,LA Clippers,2019-10-30,0.0714,0.1905,4,3,0.4,0.5,0.7,0.3,0.9,0.6,0.75,0.75,98.8,121.5,91.5,112.5
Sacramento Kings,Charlotte Hornets,2019-10-30,0.0066,0.0005,4,4,0.2,0.5,0.4,0.6,0.4,0.4,0.0,0.25,95.5,105.5,115.0,119.3
Golden State Warriors,Phoenix Suns,2019-10-30,0.0952,0.002,3,4,0.4,0.4,0.9,0.1,0.5,0.3,0.33299999999999996,0.5,116.0,114.0,128.0,105.3
