HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
New York Knicks,Cleveland Cavaliers,2019-11-18,0.001,0.0007,3,3,0.3,0.3,0.2,0.8,0.4,0.2,0.231,0.33299999999999996,100.2,104.4,109.2,107.7
Brooklyn Nets,Indiana Pacers,2019-11-18,0.0179,0.0196,3,3,0.4,0.7,0.1,0.9,0.4,0.4,0.41700000000000004,0.5379999999999999,116.8,106.8,118.8,104.4
Toronto Raptors,Charlotte Hornets,2019-11-18,0.0179,0.0005,3,3,0.7,0.5,0.6,0.4,0.8,0.6,0.667,0.462,111.8,106.7,106.9,112.2
Houston Rockets,Portland Trail Blazers,2019-11-18,0.125,0.0278,4,3,0.8,0.3,0.7,0.3,0.8,0.4,0.769,0.385,118.5,112.8,114.2,114.1
Chicago Bulls,Milwaukee Bucks,2019-11-18,0.0023,0.1538,3,2,0.3,0.8,0.3,0.7,0.2,0.6,0.308,0.75,107.7,118.8,111.0,109.7
Dallas Mavericks,San Antonio Spurs,2019-11-18,0.0094,0.0164,3,4,0.5,0.2,0.2,0.8,0.5,0.3,0.583,0.385,113.8,112.4,110.9,114.5
Phoenix Suns,Boston Celtics,2019-11-18,0.002,0.0333,2,4,0.6,0.9,0.3,0.7,0.6,0.6,0.636,0.833,117.6,113.8,110.5,105.8
Utah Jazz,Minnesota Timberwolves,2019-11-18,0.0714,0.002,3,4,0.7,0.4,0.6,0.4,0.9,0.6,0.667,0.5379999999999999,104.7,116.2,100.2,118.5
LA Clippers,Oklahoma City Thunder,2019-11-18,0.1905,0.004,4,2,0.6,0.5,0.4,0.6,0.7,0.2,0.615,0.41700000000000004,114.5,107.1,108.0,107.1
