HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
Charlotte Hornets,Detroit Pistons,2019-11-15,0.0005,0.004,3,3,0.3,0.3,0.7,0.3,0.5,0.2,0.364,0.33299999999999996,106.8,108.9,113.7,112.5
Orlando Magic,San Antonio Spurs,2019-11-15,0.005,0.0164,3,3,0.3,0.4,0.3,0.7,0.5,0.4,0.364,0.455,99.4,112.4,99.1,114.2
Houston Rockets,Indiana Pacers,2019-11-15,0.125,0.0196,3,3,0.8,0.7,0.7,0.3,0.8,0.4,0.727,0.636,118.6,109.5,116.1,104.0
Oklahoma City Thunder,Philadelphia 76ers,2019-11-15,0.004,0.1143,3,4,0.4,0.6,0.9,0.1,0.6,0.4,0.364,0.636,105.3,108.5,106.0,105.9
Memphis Grizzlies,Utah Jazz,2019-11-15,0.001,0.0714,4,3,0.4,0.7,0.5,0.5,0.4,0.2,0.364,0.727,110.0,104.5,118.8,99.5
Minnesota Timberwolves,Washington Wizards,2019-11-15,0.002,0.0008,4,2,0.6,0.2,0.6,0.4,0.4,0.3,0.636,0.222,117.2,115.6,116.2,120.0
Golden State Warriors,Boston Celtics,2019-11-15,0.0952,0.0333,4,3,0.2,0.9,0.6,0.4,0.2,0.7,0.16699999999999998,0.9,110.3,116.1,121.1,106.9
Los Angeles Lakers,Sacramento Kings,2019-11-15,0.1818,0.0066,4,2,0.9,0.4,0.6,0.4,0.7,0.3,0.818,0.4,110.8,105.6,100.9,110.3
