HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
Washington Wizards,San Antonio Spurs,2019-11-20,0.0008,0.0164,3,4,0.3,0.2,0.3,0.7,0.1,0.2,0.273,0.35700000000000004,118.0,112.2,120.1,114.6
Philadelphia 76ers,New York Knicks,2019-11-20,0.1143,0.001,3,3,0.5,0.3,0.9,0.1,0.8,0.2,0.615,0.28600000000000003,109.8,101.8,106.7,108.9
Toronto Raptors,Orlando Magic,2019-11-20,0.0179,0.005,3,3,0.7,0.5,0.7,0.3,0.8,0.3,0.6920000000000001,0.462,113.3,102.2,106.1,101.5
Atlanta Hawks,Milwaukee Bucks,2019-11-20,0.004,0.1538,3,3,0.2,0.8,0.3,0.7,0.4,0.7,0.308,0.769,106.1,118.5,115.5,109.0
Miami Heat,Cleveland Cavaliers,2019-11-20,0.0164,0.0007,2,3,0.7,0.3,0.8,0.2,0.8,0.2,0.75,0.308,111.2,104.5,104.0,108.8
Brooklyn Nets,Charlotte Hornets,2019-11-20,0.0179,0.0005,3,4,0.4,0.5,0.4,0.6,0.4,0.6,0.385,0.429,114.5,105.9,118.5,113.6
Dallas Mavericks,Golden State Warriors,2019-11-20,0.0094,0.0952,3,4,0.6,0.2,0.2,0.8,0.5,0.4,0.615,0.2,114.1,109.1,110.8,117.4
Chicago Bulls,Detroit Pistons,2019-11-20,0.0023,0.004,3,1,0.3,0.3,0.3,0.7,0.2,0.2,0.28600000000000003,0.308,107.2,108.7,111.3,112.2
Minnesota Timberwolves,Utah Jazz,2019-11-20,0.002,0.0714,4,2,0.5,0.6,0.4,0.6,0.4,0.2,0.5710000000000001,0.615,115.9,104.5,117.3,101.1
Denver Nuggets,Houston Rockets,2019-11-20,0.0476,0.125,2,4,0.7,0.8,0.1,0.9,0.6,0.5,0.75,0.7859999999999999,106.9,119.5,102.9,113.7
LA Clippers,Boston Celtics,2019-11-20,0.1905,0.0333,4,4,0.6,0.9,0.625,0.3,0.8,0.6,0.643,0.846,112.8,112.6,106.6,104.2
