Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,25,14,.641,—,26,13,101.1,96.3
Brooklyn Nets,25,16,.610,1.0,24,17,96.4,94.4
Boston Celtics,20,20,.500,5.5,18,22,95.0,96.0
Philadelphia 76ers,17,24,.415,9.0,14,27,93.0,97.1
Toronto Raptors,15,26,.366,11.0,18,23,97.4,99.3
Indiana Pacers,26,16,.619,—,25,17,91.2,89.1
Chicago Bulls,24,16,.600,1.0,23,17,93.8,91.5
Milwaukee Bucks,21,18,.538,3.5,18,21,96.7,97.6
Detroit Pistons,15,25,.375,10.0,18,22,95.0,96.1
Cleveland Cavaliers,10,32,.238,16.0,13,29,95.0,100.6
Miami Heat,26,12,.684,—,26,12,102.1,96.6
Atlanta Hawks,23,18,.561,4.5,21,20,95.8,95.5
Orlando Magic,14,26,.350,13.0,15,25,95.4,98.8
Charlotte Bobcats,10,31,.244,17.5,10,31,95.0,103.2
Washington Wizards,9,30,.231,17.5,12,27,91.0,96.8
Oklahoma City Thunder,32,9,.780,—,32,9,106.0,97.0
Denver Nuggets,25,18,.581,8.0,25,18,103.1,100.8
Utah Jazz,22,19,.537,10.0,21,20,98.7,98.6
Portland Trail Blazers,20,21,.488,12.0,17,24,97.0,99.3
Minnesota Timberwolves,17,21,.447,13.5,17,21,94.7,96.4
Los Angeles Clippers,32,10,.762,—,33,9,101.6,93.0
Golden State Warriors,25,15,.625,6.0,22,18,100.6,99.4
Los Angeles Lakers,17,24,.415,14.5,22,19,102.6,101.4
Sacramento Kings,16,26,.381,16.0,13,29,97.1,102.9
Phoenix Suns,13,28,.317,18.5,14,27,95.4,99.7
San Antonio Spurs,33,11,.750,—,33,11,104.0,95.8
Memphis Grizzlies,26,14,.650,5.0,25,15,92.9,89.4
Houston Rockets,22,21,.512,10.5,23,20,104.4,103.2
Dallas Mavericks,18,24,.429,14.0,17,25,100.2,102.9
New Orleans Hornets,14,27,.341,17.5,15,26,93.3,97.0
