Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,50,27,.649,—,45,32,107.8,105.1
Cleveland Cavaliers,49,27,.645,0.5,46,30,110.3,107.0
Toronto Raptors,47,30,.610,3.0,49,28,107.3,103.0
Washington Wizards,46,31,.597,4.0,43,34,109.3,107.5
Milwaukee Bucks,40,37,.519,10.0,40,37,104.6,104.2
Atlanta Hawks,39,38,.506,11.0,35,42,102.7,104.0
Chicago Bulls,38,39,.494,12.0,37,40,102.6,103.3
Indiana Pacers,37,40,.481,13.0,35,42,104.6,105.8
Miami Heat,37,40,.481,13.0,41,36,102.8,102.0
Charlotte Hornets,36,41,.468,14.0,41,36,105.5,104.4
Detroit Pistons,35,42,.455,15.0,35,42,101.0,102.3
New York Knicks,29,48,.377,21.0,29,48,104.6,108.3
Philadelphia 76ers,28,49,.364,22.0,25,52,102.4,107.8
Orlando Magic,27,50,.351,23.0,24,53,100.9,107.0
Brooklyn Nets,18,59,.234,32.0,23,54,105.7,112.5
Golden State Warriors,63,14,.818,—,63,14,116.0,104.3
San Antonio Spurs,59,17,.776,3.5,57,19,106.1,98.3
Houston Rockets,52,25,.675,11.0,53,24,115.4,109.0
Utah Jazz,47,30,.610,16.0,49,28,100.5,96.6
Los Angeles Clippers,47,31,.603,16.5,48,30,108.5,104.9
Oklahoma City Thunder,43,33,.566,19.5,40,36,106.8,106.1
Memphis Grizzlies,42,35,.545,21.0,40,37,100.9,100.1
Portland Trail Blazers,38,39,.494,25.0,37,40,108.6,109.1
Denver Nuggets,36,40,.474,26.5,38,38,111.5,111.4
New Orleans Pelicans,33,44,.429,30.0,34,43,104.1,105.7
Dallas Mavericks,32,44,.421,30.5,32,44,98.0,100.4
Minnesota Timberwolves,31,45,.408,31.5,36,40,105.4,106.2
Sacramento Kings,30,47,.390,33.0,28,49,102.4,106.6
Los Angeles Lakers,22,55,.286,41.0,21,56,104.7,112.2
Phoenix Suns,22,56,.282,41.5,25,53,107.3,113.3
