Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,8,10,.444,—,9,9,102.2,102.8
New Jersey Nets,7,9,.438,—,7,9,94.3,96.2
Boston Celtics,7,9,.438,—,7,9,98.8,100.8
New York Knicks,5,11,.313,2.0,6,10,92.6,95.7
Toronto Raptors,3,15,.167,5.0,4,14,94.9,102.8
Detroit Pistons,13,2,.867,—,12,3,98.9,90.7
Cleveland Cavaliers,10,6,.625,3.5,11,5,101.9,97.2
Indiana Pacers,10,6,.625,3.5,10,6,95.4,91.5
Milwaukee Bucks,9,6,.600,4.0,7,8,98.1,99.5
Chicago Bulls,8,8,.500,5.5,7,9,94.4,96.7
Miami Heat,10,8,.556,—,11,7,96.7,93.2
Washington Wizards,7,8,.467,1.5,8,7,98.9,97.5
Orlando Magic,7,10,.412,2.5,5,12,85.1,90.3
Charlotte Bobcats,5,13,.278,5.0,8,10,96.7,97.7
Atlanta Hawks,2,14,.125,7.0,3,13,89.3,98.3
Minnesota Timberwolves,10,6,.625,—,10,6,94.0,90.2
Denver Nuggets,9,9,.500,2.0,10,8,96.3,95.3
Seattle SuperSonics,8,8,.500,2.0,6,10,100.0,104.6
Utah Jazz,7,11,.389,4.0,7,11,87.6,91.2
Portland Trail Blazers,5,11,.313,5.0,3,13,85.9,94.3
Los Angeles Clippers,12,5,.706,—,11,6,99.5,95.4
Golden State Warriors,12,6,.667,0.5,11,7,97.4,93.7
Phoenix Suns,10,5,.667,1.0,10,5,103.3,97.7
Los Angeles Lakers,7,9,.438,4.5,7,9,95.9,96.9
Sacramento Kings,7,10,.412,5.0,8,9,98.1,98.3
San Antonio Spurs,14,3,.824,—,13,4,98.2,90.1
Dallas Mavericks,12,5,.706,2.0,11,6,98.8,94.2
Memphis Grizzlies,12,5,.706,2.0,12,5,91.4,85.5
New Orleans/Oklahoma City Hornets,8,8,.500,5.5,7,9,92.1,93.9
Houston Rockets,4,12,.250,9.5,5,11,85.3,89.5
