Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,8,1,.889,—,6,3,94.4,88.4
New York Knicks,5,3,.625,2.5,4,4,103.4,103.1
Toronto Raptors,4,4,.500,3.5,4,4,94.4,96.0
Philadelphia 76ers,3,5,.375,4.5,4,4,96.3,95.1
New Jersey Nets,2,5,.286,5.0,2,5,91.7,99.3
Cleveland Cavaliers,7,2,.778,—,7,2,100.7,93.7
Detroit Pistons,6,2,.750,0.5,5,3,99.6,95.5
Indiana Pacers,4,3,.571,2.0,5,2,100.3,95.6
Chicago Bulls,4,5,.444,3.0,4,5,97.0,97.0
Milwaukee Bucks,4,5,.444,3.0,4,5,94.0,95.3
Atlanta Hawks,6,1,.857,—,5,2,99.3,91.4
Orlando Magic,5,3,.625,1.5,6,2,99.8,93.5
Miami Heat,4,4,.500,2.5,5,3,99.3,95.1
Charlotte Bobcats,2,5,.286,4.0,2,5,87.3,93.0
Washington Wizards,1,5,.167,4.5,1,5,97.0,105.2
Utah Jazz,6,2,.750,—,6,2,96.8,90.1
Portland Trail Blazers,5,3,.625,1.0,3,5,97.0,99.0
Denver Nuggets,4,4,.500,2.0,4,4,100.0,100.1
Minnesota Timberwolves,1,6,.143,4.5,2,5,100.7,105.6
Oklahoma City Thunder,1,7,.125,5.0,2,6,88.5,97.1
Los Angeles Lakers,7,0,1.000,—,7,0,104.7,86.7
Phoenix Suns,6,3,.667,2.0,5,4,100.9,98.1
Sacramento Kings,4,5,.444,4.0,3,6,99.8,105.2
Golden State Warriors,3,6,.333,5.0,4,5,102.6,105.4
Los Angeles Clippers,1,7,.125,6.5,1,7,88.3,101.6
Houston Rockets,5,3,.625,—,5,3,93.6,91.3
New Orleans Hornets,4,3,.571,0.5,4,3,96.3,93.0
Memphis Grizzlies,3,6,.333,2.5,3,6,92.4,98.2
San Antonio Spurs,2,5,.286,2.5,3,4,94.3,98.1
Dallas Mavericks,2,6,.250,3.0,3,5,95.4,99.1
