Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,34,28,.548,—,31,31,93.9,93.8
Philadelphia 76ers,31,32,.492,3.5,28,35,100.3,101.7
Boston Celtics,27,37,.422,8.0,28,36,98.2,99.9
Toronto Raptors,23,41,.359,12.0,27,37,100.5,102.6
New York Knicks,17,45,.274,17.0,18,44,95.7,101.8
Detroit Pistons,50,12,.806,—,47,15,97.2,89.8
Cleveland Cavaliers,36,29,.554,15.5,37,28,96.9,95.1
Indiana Pacers,32,29,.525,17.5,36,25,93.8,91.2
Milwaukee Bucks,31,32,.492,19.5,28,35,96.3,97.9
Chicago Bulls,29,35,.453,22.0,32,32,97.1,97.1
Miami Heat,42,21,.667,—,42,21,101.2,96.5
Washington Wizards,32,30,.516,9.5,35,27,101.4,99.7
Orlando Magic,22,41,.349,20.0,25,38,93.2,96.2
Atlanta Hawks,20,41,.328,21.0,20,41,96.5,101.5
Charlotte Bobcats,18,47,.277,25.0,22,43,95.6,100.3
Denver Nuggets,36,29,.554,—,35,30,100.6,99.6
Utah Jazz,30,33,.476,5.0,23,40,90.3,94.0
Minnesota Timberwolves,26,37,.413,9.0,29,34,92.0,93.1
Seattle SuperSonics,25,39,.391,10.5,23,41,102.0,106.3
Portland Trail Blazers,20,43,.317,15.0,14,49,88.8,97.3
Phoenix Suns,44,19,.698,—,44,19,108.1,101.6
Los Angeles Clippers,37,25,.597,6.5,36,26,97.2,94.8
Sacramento Kings,33,31,.516,11.5,36,28,99.6,98.1
Los Angeles Lakers,33,32,.508,12.0,36,29,99.0,97.6
Golden State Warriors,26,37,.413,18.0,28,35,98.6,100.0
San Antonio Spurs,50,14,.781,—,48,16,95.3,88.1
Dallas Mavericks,50,14,.781,—,46,18,99.5,92.8
Memphis Grizzlies,35,29,.547,15.0,37,27,91.0,88.8
New Orleans/Oklahoma City Hornets,31,32,.492,18.5,28,35,92.0,93.6
Houston Rockets,29,35,.453,21.0,30,34,90.8,91.6
