Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Miami Heat,20,10,.667,—,19,11,97.7,94.3
New York Knicks,19,12,.613,1.5,18,13,91.5,89.7
Philadelphia 76ers,19,15,.559,3.0,17,17,92.5,92.4
Orlando Magic,16,16,.500,5.0,16,16,102.8,102.6
Boston Celtics,13,17,.433,7.0,14,16,97.4,98.3
New Jersey Nets,12,19,.387,8.5,14,17,96.0,97.6
Washington Wizards,11,21,.344,10.0,11,21,91.9,96.7
Indiana Pacers,21,9,.700,—,22,8,102.4,95.2
Charlotte Hornets,18,13,.581,3.5,19,12,100.9,97.8
Milwaukee Bucks,18,14,.563,4.0,17,15,102.4,101.5
Toronto Raptors,17,13,.567,4.0,16,14,97.9,97.4
Detroit Pistons,17,14,.548,4.5,18,13,104.4,102.1
Cleveland Cavaliers,12,19,.387,9.5,12,19,99.0,102.4
Atlanta Hawks,11,20,.355,10.5,13,18,100.5,102.9
Chicago Bulls,3,26,.103,17.5,4,25,83.4,95.6
San Antonio Spurs,21,12,.636,—,23,10,95.4,89.4
Utah Jazz,20,10,.667,-0.5,20,10,95.4,90.4
Denver Nuggets,16,14,.533,3.5,14,16,97.8,98.7
Minnesota Timberwolves,14,14,.500,4.5,14,14,96.4,96.0
Houston Rockets,10,21,.323,10.0,14,17,97.9,99.5
Dallas Mavericks,9,22,.290,11.0,11,20,100.8,104.7
Vancouver Grizzlies,7,24,.226,13.0,7,24,92.5,100.7
Los Angeles Lakers,27,5,.844,—,25,7,98.8,90.4
Portland Trail Blazers,24,7,.774,2.5,24,7,96.8,88.5
Seattle SuperSonics,20,12,.625,7.0,17,15,99.5,98.8
Phoenix Suns,19,11,.633,7.0,21,9,100.7,95.2
Sacramento Kings,18,10,.643,7.0,17,11,105.7,102.8
Los Angeles Clippers,9,22,.290,17.5,7,24,91.9,100.9
Golden State Warriors,6,25,.194,20.5,7,24,94.3,102.6
