Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,22,9,.710,—,25,6,98.5,89.1
Philadelphia 76ers,18,11,.621,3.0,17,12,93.9,91.9
Boston Celtics,18,12,.600,3.5,16,14,95.7,95.1
Orlando Magic,17,15,.531,5.5,15,17,97.6,98.7
Washington Wizards,13,16,.448,8.0,16,13,90.2,88.9
Miami Heat,10,19,.345,11.0,11,18,85.3,88.2
New York Knicks,9,17,.346,10.5,10,16,92.4,95.8
Indiana Pacers,22,8,.733,—,21,9,98.8,93.2
Detroit Pistons,20,9,.690,1.5,19,10,90.0,86.3
New Orleans Hornets,18,13,.581,4.5,18,13,94.5,92.2
Milwaukee Bucks,12,17,.414,9.5,14,15,99.3,99.5
Atlanta Hawks,12,17,.414,9.5,11,18,93.8,97.4
Chicago Bulls,10,20,.333,12.0,9,21,93.3,99.3
Toronto Raptors,8,21,.276,13.5,7,22,89.4,96.4
Cleveland Cavaliers,6,25,.194,16.5,6,25,90.6,101.0
Dallas Mavericks,25,4,.862,—,24,5,102.9,91.7
San Antonio Spurs,19,11,.633,6.5,20,10,91.9,87.7
Utah Jazz,16,13,.552,9.0,19,10,94.7,90.3
Minnesota Timberwolves,16,14,.533,9.5,15,15,95.9,96.2
Houston Rockets,15,13,.536,9.5,16,12,91.5,89.7
Memphis Grizzlies,9,21,.300,16.5,9,21,94.5,100.0
Denver Nuggets,6,23,.207,19.0,5,24,80.7,89.6
Sacramento Kings,23,9,.719,—,23,9,99.6,93.2
Phoenix Suns,18,11,.621,3.5,15,14,90.1,89.8
Portland Trail Blazers,17,11,.607,4.0,16,12,92.8,90.9
Seattle SuperSonics,15,15,.500,7.0,16,14,93.3,92.2
Los Angeles Clippers,12,18,.400,10.0,12,18,92.3,95.3
Los Angeles Lakers,12,19,.387,10.5,13,18,94.8,97.2
Golden State Warriors,11,18,.379,10.5,12,17,98.7,100.8
