Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,11,11,.500,—,10,12,95.9,96.9
Boston Celtics,9,12,.429,1.5,12,9,100.0,98.0
Philadelphia 76ers,9,12,.429,1.5,8,13,94.7,98.6
Toronto Raptors,8,16,.333,4.0,10,14,96.6,99.3
New Jersey Nets,7,14,.333,3.5,5,16,85.1,91.8
Cleveland Cavaliers,14,8,.636,—,14,8,97.2,93.4
Detroit Pistons,11,10,.524,2.5,10,11,89.9,90.0
Indiana Pacers,11,10,.524,2.5,9,12,94.2,95.7
Milwaukee Bucks,6,13,.316,6.5,8,11,95.7,98.2
Chicago Bulls,5,15,.250,8.0,6,14,90.7,96.6
Miami Heat,17,7,.708,—,16,8,99.0,94.5
Washington Wizards,12,8,.600,3.0,12,8,100.7,98.4
Orlando Magic,13,9,.591,3.0,11,11,100.9,100.5
Charlotte Bobcats,5,14,.263,9.5,6,13,94.8,100.4
Atlanta Hawks,4,18,.182,12.0,4,18,89.1,100.0
Seattle SuperSonics,18,4,.818,—,16,6,100.2,93.9
Minnesota Timberwolves,14,8,.636,4.0,14,8,100.0,95.9
Denver Nuggets,13,9,.591,5.0,11,11,94.8,95.1
Portland Trail Blazers,10,11,.476,7.5,9,12,90.5,92.1
Utah Jazz,10,13,.435,8.5,10,13,95.6,97.2
Phoenix Suns,19,3,.864,—,19,3,109.4,97.1
Sacramento Kings,15,6,.714,3.5,13,8,101.8,98.8
Los Angeles Lakers,12,9,.571,6.5,11,10,96.9,96.8
Los Angeles Clippers,11,10,.524,7.5,13,8,97.9,94.4
Golden State Warriors,7,15,.318,12.0,7,15,93.6,98.7
San Antonio Spurs,18,5,.783,—,19,4,96.2,85.6
Dallas Mavericks,15,9,.625,3.5,15,9,99.0,95.5
Houston Rockets,10,12,.455,7.5,10,12,86.9,88.5
Memphis Grizzlies,9,15,.375,9.5,11,13,92.0,93.0
New Orleans Hornets,2,19,.095,15.0,5,16,86.1,93.4
