Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,40,25,.615,—,46,19,95.4,89.5
Philadelphia 76ers,38,26,.594,1.5,37,27,96.3,94.2
Boston Celtics,38,28,.576,2.5,33,33,93.2,93.0
Orlando Magic,34,33,.507,7.0,34,33,98.6,98.5
Washington Wizards,32,34,.485,8.5,33,33,91.7,91.6
New York Knicks,28,37,.431,12.0,29,36,95.3,96.8
Miami Heat,21,45,.318,19.5,22,44,85.3,89.5
Detroit Pistons,41,24,.631,—,43,22,90.5,86.4
Indiana Pacers,39,27,.591,2.5,39,27,96.5,93.9
New Orleans Hornets,38,30,.559,4.5,38,30,93.8,92.3
Milwaukee Bucks,32,34,.485,9.5,32,34,99.0,99.3
Atlanta Hawks,27,39,.409,14.5,25,41,94.0,97.6
Chicago Bulls,23,44,.343,19.0,22,45,94.1,99.2
Toronto Raptors,20,43,.317,20.0,18,45,90.6,96.6
Cleveland Cavaliers,11,53,.172,29.5,11,53,90.5,101.4
Dallas Mavericks,49,16,.754,—,50,15,102.5,93.8
San Antonio Spurs,46,18,.719,2.5,44,20,95.1,89.9
Minnesota Timberwolves,42,26,.618,8.5,38,30,97.8,96.0
Utah Jazz,37,28,.569,12.0,39,26,95.2,92.4
Houston Rockets,34,30,.531,14.5,36,28,93.8,92.0
Memphis Grizzlies,23,41,.359,25.5,25,39,97.4,100.7
Denver Nuggets,14,51,.215,35.0,14,51,83.1,91.2
Sacramento Kings,46,20,.697,—,47,19,101.2,94.6
Portland Trail Blazers,42,23,.646,3.5,40,25,95.0,92.0
Los Angeles Lakers,37,28,.569,8.5,36,29,99.0,97.5
Phoenix Suns,34,30,.531,11.0,33,31,95.5,95.1
Golden State Warriors,32,34,.485,14.0,33,33,101.8,102.0
Seattle SuperSonics,29,35,.453,16.0,30,34,91.8,92.7
Los Angeles Clippers,20,45,.308,25.5,22,43,92.9,97.4
