Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Miami Heat,31,17,.646,—,30,18,97.7,94.0
New York Knicks,29,19,.604,2.0,26,22,92.7,91.4
Philadelphia 76ers,27,23,.540,5.0,25,25,94.4,94.6
Orlando Magic,24,26,.480,8.0,26,24,101.8,101.5
Boston Celtics,22,28,.440,10.0,21,29,97.4,99.6
New Jersey Nets,19,31,.380,13.0,23,27,97.0,98.3
Washington Wizards,15,35,.300,17.0,17,33,95.9,100.8
Indiana Pacers,32,16,.667,—,34,14,102.4,96.0
Charlotte Hornets,28,20,.583,4.0,28,20,99.9,97.7
Toronto Raptors,27,21,.563,5.0,25,23,99.1,98.4
Milwaukee Bucks,27,24,.529,6.5,26,25,103.5,103.0
Detroit Pistons,25,24,.510,7.5,26,23,103.9,103.3
Atlanta Hawks,20,28,.417,12.0,21,27,99.0,100.8
Cleveland Cavaliers,20,30,.400,13.0,19,31,97.3,100.6
Chicago Bulls,10,38,.208,22.0,9,39,85.4,95.3
San Antonio Spurs,32,18,.640,—,36,14,95.7,89.4
Utah Jazz,29,19,.604,2.0,30,18,95.5,92.0
Minnesota Timberwolves,27,21,.563,4.0,25,23,97.1,96.5
Denver Nuggets,22,27,.449,9.5,21,28,98.3,100.6
Houston Rockets,21,30,.412,11.5,23,28,98.5,99.9
Dallas Mavericks,20,29,.408,11.5,22,27,101.9,103.4
Vancouver Grizzlies,14,34,.292,17.0,16,32,93.9,98.6
Portland Trail Blazers,39,11,.780,—,38,12,97.0,89.2
Los Angeles Lakers,38,11,.776,0.5,38,11,99.3,90.6
Seattle SuperSonics,32,20,.615,8.0,28,24,98.2,97.0
Phoenix Suns,30,19,.612,8.5,32,17,99.1,94.8
Sacramento Kings,30,19,.612,8.5,29,20,105.6,102.8
Golden State Warriors,12,36,.250,26.0,13,35,96.0,102.9
Los Angeles Clippers,11,39,.220,28.0,9,41,91.8,102.3
