Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,30,11,.732,—,28,13,101.4,95.7
Toronto Raptors,27,15,.643,3.5,26,16,101.0,97.2
Atlanta Hawks,26,18,.591,5.5,26,18,102.3,99.9
Chicago Bulls,24,17,.585,6.0,21,20,101.9,101.2
Indiana Pacers,23,19,.548,7.5,25,17,102.5,99.5
Miami Heat,23,20,.535,8.0,22,21,95.8,95.7
Detroit Pistons,23,20,.535,8.0,24,19,101.9,100.2
Boston Celtics,22,21,.512,9.0,26,17,103.7,100.8
New York Knicks,22,22,.500,9.5,21,23,99.7,100.4
Orlando Magic,20,21,.488,10.0,20,21,98.3,98.7
Washington Wizards,20,21,.488,10.0,18,23,102.2,103.8
Charlotte Hornets,19,23,.452,11.5,22,20,101.5,101.0
Milwaukee Bucks,19,25,.432,12.5,15,29,98.1,102.8
Brooklyn Nets,11,32,.256,20.0,11,32,95.3,103.0
Philadelphia 76ers,6,38,.136,25.5,8,36,94.3,104.8
Golden State Warriors,39,4,.907,—,36,7,114.6,102.4
San Antonio Spurs,37,6,.860,2.0,38,5,104.2,89.6
Oklahoma City Thunder,32,12,.727,7.5,34,10,108.6,99.9
Los Angeles Clippers,27,15,.643,11.5,26,16,104.7,101.4
Dallas Mavericks,25,19,.568,14.5,22,22,101.0,101.0
Memphis Grizzlies,25,19,.568,14.5,18,26,96.4,98.8
Houston Rockets,22,22,.500,17.5,20,24,104.5,105.7
Sacramento Kings,19,23,.452,19.5,19,23,106.0,107.4
Portland Trail Blazers,19,26,.422,21.0,20,25,101.4,102.8
Utah Jazz,18,24,.429,20.5,21,21,97.4,97.7
Denver Nuggets,16,27,.372,23.0,16,27,99.4,103.5
New Orleans Pelicans,15,27,.357,23.5,17,25,102.0,105.1
Minnesota Timberwolves,13,31,.295,26.5,16,28,98.9,102.9
Phoenix Suns,13,31,.295,26.5,15,29,101.6,106.9
Los Angeles Lakers,9,35,.205,30.5,9,35,96.3,106.1
