Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,46,15,.754,—,44,17,98.2,91.6
New York Knicks,32,29,.525,14.0,32,29,106.1,105.3
Philadelphia 76ers,32,30,.516,14.5,35,27,99.2,97.2
New Jersey Nets,19,43,.306,27.5,19,43,94.0,99.9
Toronto Raptors,17,46,.270,30.0,19,44,99.4,105.5
Chicago Bulls,43,18,.705,—,43,18,97.8,91.8
Indiana Pacers,27,35,.435,16.5,29,33,99.7,100.5
Milwaukee Bucks,23,38,.377,20.0,27,34,91.2,92.9
Detroit Pistons,23,41,.359,21.5,23,41,95.8,99.7
Cleveland Cavaliers,12,50,.194,31.5,12,50,96.0,106.0
Miami Heat,43,20,.683,—,46,17,101.5,94.8
Orlando Magic,40,23,.635,3.0,44,19,100.0,94.2
Atlanta Hawks,37,26,.587,6.0,33,30,95.9,95.3
Charlotte Bobcats,26,36,.419,16.5,23,39,93.5,97.0
Washington Wizards,16,46,.258,26.5,17,45,96.9,103.9
Oklahoma City Thunder,39,22,.639,—,36,25,104.7,102.3
Denver Nuggets,37,27,.578,3.5,39,25,107.3,104.0
Portland Trail Blazers,35,27,.565,4.5,33,29,96.2,95.5
Utah Jazz,33,30,.524,7.0,30,33,99.8,100.3
Minnesota Timberwolves,15,49,.234,25.5,20,44,101.5,107.3
Los Angeles Lakers,45,19,.703,—,46,18,101.8,95.4
Phoenix Suns,32,29,.525,11.5,31,30,105.3,105.3
Golden State Warriors,27,35,.435,17.0,24,38,103.0,106.1
Los Angeles Clippers,23,40,.365,21.5,24,39,98.4,101.8
Sacramento Kings,15,45,.250,28.0,19,41,98.0,103.7
San Antonio Spurs,51,12,.810,—,45,18,103.4,96.6
Dallas Mavericks,45,17,.726,5.5,39,23,99.9,96.0
New Orleans Hornets,37,28,.569,15.0,37,28,94.6,92.6
Memphis Grizzlies,35,29,.547,16.5,36,28,100.0,98.1
Houston Rockets,32,32,.500,19.5,34,30,105.6,104.4
