Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,7,1,.875,—,6,2,104.1,95.5
Atlanta Hawks,7,2,.778,0.5,6,3,104.2,100.3
Detroit Pistons,5,2,.714,1.5,4,3,99.0,96.1
Miami Heat,5,3,.625,2.0,6,2,97.1,90.1
Toronto Raptors,5,3,.625,2.0,5,3,100.3,97.1
Chicago Bulls,5,3,.625,2.0,4,4,101.4,99.8
Indiana Pacers,4,4,.500,3.0,4,4,94.5,95.9
Milwaukee Bucks,4,4,.500,3.0,3,5,95.9,100.8
New York Knicks,4,4,.500,3.0,4,4,101.5,101.5
Boston Celtics,3,3,.500,3.0,4,2,102.8,97.3
Charlotte Hornets,3,4,.429,3.5,4,3,102.3,100.4
Washington Wizards,3,4,.429,3.5,2,5,102.3,110.4
Orlando Magic,3,5,.375,4.0,4,4,101.0,101.6
Brooklyn Nets,0,7,.000,6.5,1,6,90.4,102.9
Philadelphia 76ers,0,7,.000,6.5,1,6,91.4,104.7
Golden State Warriors,8,0,1.000,—,7,1,114.9,97.1
San Antonio Spurs,5,2,.714,2.5,6,1,102.3,91.7
Los Angeles Clippers,5,2,.714,2.5,4,3,105.4,101.4
Oklahoma City Thunder,5,3,.625,3.0,6,2,114.8,107.0
Houston Rockets,4,3,.571,3.5,2,5,102.9,108.6
Utah Jazz,4,3,.571,3.5,5,2,96.3,89.7
Minnesota Timberwolves,4,3,.571,3.5,4,3,100.9,99.3
Portland Trail Blazers,4,4,.500,4.0,4,4,103.8,102.8
Dallas Mavericks,3,4,.429,4.5,3,4,99.9,102.9
Denver Nuggets,3,4,.429,4.5,2,5,98.9,103.6
Phoenix Suns,3,4,.429,4.5,3,4,102.1,102.3
Memphis Grizzlies,3,5,.375,5.0,2,6,91.0,100.8
New Orleans Pelicans,1,6,.143,6.5,2,5,105.1,113.3
Los Angeles Lakers,1,6,.143,6.5,2,5,102.0,109.3
Sacramento Kings,1,7,.125,7.0,2,6,102.9,110.6
