Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,35,29,.547,—,33,31,99.2,98.8
New York Knicks,29,34,.460,5.5,27,36,99.5,101.5
New Jersey Nets,29,35,.453,6.0,29,35,97.2,98.7
Philadelphia 76ers,25,38,.397,9.5,25,38,95.4,98.3
Boston Celtics,18,44,.290,16.0,23,39,96.6,100.3
Detroit Pistons,39,22,.639,—,39,22,96.2,92.3
Cleveland Cavaliers,38,25,.603,2.0,38,25,96.0,93.2
Chicago Bulls,37,28,.569,4.0,43,22,99.0,94.5
Indiana Pacers,29,33,.468,10.5,26,36,96.0,98.1
Milwaukee Bucks,23,41,.359,17.5,25,39,100.0,103.3
Washington Wizards,34,28,.548,—,31,31,104.8,104.8
Miami Heat,33,29,.532,1.0,30,32,96.4,97.0
Orlando Magic,29,36,.446,6.5,31,34,93.9,94.6
Atlanta Hawks,25,39,.391,10.0,22,42,93.2,97.7
Charlotte Bobcats,23,41,.359,12.0,20,44,95.8,101.3
Utah Jazz,43,19,.694,—,40,22,102.7,98.1
Denver Nuggets,30,31,.492,12.5,32,29,104.6,103.9
Minnesota Timberwolves,27,35,.435,16.0,26,36,96.5,98.6
Portland Trail Blazers,26,36,.419,17.0,24,38,94.7,97.9
Seattle SuperSonics,25,38,.397,18.5,27,36,99.7,101.9
Phoenix Suns,49,14,.778,—,47,16,110.4,102.4
Los Angeles Lakers,33,31,.516,16.5,32,32,102.5,102.6
Golden State Warriors,30,36,.455,20.5,28,38,104.9,107.0
Los Angeles Clippers,29,33,.468,19.5,27,35,94.6,96.3
Sacramento Kings,28,34,.452,20.5,30,32,100.9,101.3
Dallas Mavericks,52,10,.839,—,48,14,100.5,92.2
San Antonio Spurs,45,18,.714,7.5,49,14,98.3,89.7
Houston Rockets,39,25,.609,14.0,43,21,95.8,91.1
New Orleans/Oklahoma City Hornets,28,35,.444,24.5,26,37,93.3,95.7
Memphis Grizzlies,16,49,.246,37.5,22,43,101.0,106.0
