Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,10,6,.625,—,10,6,94.8,91.4
Boston Celtics,9,6,.600,0.5,10,5,95.9,91.7
New York Knicks,10,9,.526,1.5,9,10,87.2,88.1
Orlando Magic,9,9,.500,2.0,12,6,102.8,97.9
Philadelphia 76ers,8,9,.471,2.5,9,8,86.8,86.5
Washington Wizards,5,12,.294,5.5,5,12,90.2,95.4
Miami Heat,2,14,.125,8.0,5,11,82.5,88.2
Detroit Pistons,11,6,.647,—,11,6,97.6,92.6
Toronto Raptors,11,7,.611,0.5,10,8,93.7,91.6
Milwaukee Bucks,9,6,.600,1.0,6,9,92.8,95.3
Indiana Pacers,11,10,.524,2.0,10,11,98.0,98.2
Charlotte Hornets,7,10,.412,4.0,6,11,93.6,97.4
Cleveland Cavaliers,7,11,.389,4.5,6,12,90.3,94.7
Atlanta Hawks,6,12,.333,5.5,7,11,93.6,97.3
Chicago Bulls,3,13,.188,7.5,2,14,82.1,94.1
San Antonio Spurs,12,4,.750,—,12,4,100.6,92.5
Dallas Mavericks,12,6,.667,1.0,10,8,101.2,98.9
Minnesota Timberwolves,11,5,.688,1.0,11,5,99.1,94.0
Denver Nuggets,7,10,.412,5.5,7,10,94.1,96.7
Utah Jazz,7,11,.389,6.0,7,11,96.7,99.9
Houston Rockets,7,12,.368,6.5,6,13,88.5,93.2
Memphis Grizzlies,4,13,.235,8.5,4,13,89.8,98.3
Los Angeles Lakers,15,1,.938,—,14,2,101.4,89.9
Sacramento Kings,14,5,.737,2.5,14,5,101.3,93.4
Phoenix Suns,12,7,.632,4.5,13,6,100.2,94.0
Portland Trail Blazers,9,8,.529,6.5,9,8,94.0,93.9
Los Angeles Clippers,9,9,.500,7.0,11,7,98.2,94.8
Seattle SuperSonics,9,11,.450,8.0,8,12,96.5,98.7
Golden State Warriors,7,11,.389,9.0,6,12,92.3,96.9
