Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,8,2,.800,—,7,3,102.8,95.6
Chicago Bulls,7,3,.700,1.0,6,4,100.9,99.0
Atlanta Hawks,8,4,.667,1.0,7,5,102.8,100.3
Toronto Raptors,7,4,.636,1.5,7,4,102.0,97.1
Miami Heat,6,3,.667,1.5,6,3,96.6,90.2
Boston Celtics,6,4,.600,2.0,7,3,102.5,95.9
Indiana Pacers,6,5,.545,2.5,6,5,96.4,96.1
Charlotte Hornets,5,5,.500,3.0,6,4,101.4,99.2
Detroit Pistons,5,5,.500,3.0,5,5,96.6,97.2
Milwaukee Bucks,5,5,.500,3.0,4,6,97.7,101.4
Washington Wizards,4,4,.500,3.0,2,6,103.0,109.0
New York Knicks,5,6,.455,3.5,6,5,98.5,98.5
Orlando Magic,5,6,.455,3.5,5,6,100.9,101.2
Brooklyn Nets,1,9,.100,7.0,2,8,94.7,103.6
Philadelphia 76ers,0,11,.000,8.5,1,10,90.6,103.5
Golden State Warriors,11,0,1.000,—,10,1,114.1,97.8
San Antonio Spurs,8,2,.800,2.5,8,2,101.4,90.6
Dallas Mavericks,7,4,.636,4.0,6,5,100.8,99.5
Los Angeles Clippers,6,4,.600,4.5,5,5,105.1,104.2
Phoenix Suns,6,4,.600,4.5,7,3,105.8,100.2
Oklahoma City Thunder,6,5,.545,5.0,7,4,110.8,105.7
Memphis Grizzlies,6,6,.500,5.5,3,9,95.8,102.2
Utah Jazz,5,5,.500,5.5,6,4,95.5,91.8
Denver Nuggets,5,5,.500,5.5,3,7,98.3,103.0
Minnesota Timberwolves,4,6,.400,6.5,5,5,103.1,104.5
Houston Rockets,4,7,.364,7.0,3,8,100.8,108.5
Sacramento Kings,4,7,.364,7.0,4,7,103.8,107.9
Portland Trail Blazers,4,8,.333,7.5,5,7,100.4,102.9
Los Angeles Lakers,2,9,.182,9.0,3,8,99.4,105.5
New Orleans Pelicans,1,9,.100,9.5,2,8,100.2,109.4
