Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,47,33,.588,—,44,36,99.4,98.2
New Jersey Nets,40,41,.494,7.5,38,43,97.5,98.4
Philadelphia 76ers,34,46,.425,13.0,31,49,94.6,97.7
New York Knicks,32,49,.395,15.5,32,49,97.5,100.4
Boston Celtics,24,57,.296,23.5,31,50,95.9,99.3
Detroit Pistons,51,29,.638,—,52,28,96.0,92.0
Chicago Bulls,49,32,.605,2.5,55,26,98.8,93.6
Cleveland Cavaliers,48,32,.600,3.0,51,29,96.6,92.9
Indiana Pacers,35,45,.438,16.0,34,46,95.5,97.8
Milwaukee Bucks,28,53,.346,23.5,29,52,99.7,104.0
Miami Heat,44,37,.543,—,39,42,95.0,95.6
Washington Wizards,40,40,.500,3.5,39,41,104.6,105.1
Orlando Magic,38,42,.475,5.5,41,39,94.8,94.4
Charlotte Bobcats,33,48,.407,11.0,30,51,96.9,100.7
Atlanta Hawks,29,52,.358,15.0,26,55,93.4,98.4
Utah Jazz,50,31,.617,—,48,33,101.5,98.7
Denver Nuggets,44,37,.543,6.0,44,37,105.4,104.1
Minnesota Timberwolves,32,49,.395,18.0,31,50,96.1,99.5
Portland Trail Blazers,32,49,.395,18.0,29,52,94.1,98.1
Seattle SuperSonics,31,50,.383,19.0,33,48,99.4,102.0
Phoenix Suns,61,20,.753,—,59,22,110.3,102.9
Los Angeles Lakers,41,40,.506,20.0,40,41,103.2,103.4
Golden State Warriors,40,40,.500,20.5,37,43,106.3,107.3
Los Angeles Clippers,39,41,.488,21.5,39,41,95.7,96.2
Sacramento Kings,33,48,.407,28.0,36,45,101.2,102.9
Dallas Mavericks,66,14,.825,—,60,20,100.2,92.8
San Antonio Spurs,58,23,.716,8.5,64,17,98.8,90.0
Houston Rockets,52,29,.642,14.5,55,26,97.1,92.0
New Orleans/Oklahoma City Hornets,38,43,.469,28.5,36,45,95.6,97.3
Memphis Grizzlies,21,60,.259,45.5,26,55,101.4,106.9
