Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,47,25,.653,—,44,28,110.5,106.9
Boston Celtics,47,26,.644,0.5,43,30,107.7,105.1
Washington Wizards,45,28,.616,2.5,42,31,109.2,106.8
Toronto Raptors,44,29,.603,3.5,46,27,106.9,102.8
Atlanta Hawks,37,35,.514,10.0,33,39,103.3,104.5
Milwaukee Bucks,37,35,.514,10.0,37,35,104.6,104.1
Indiana Pacers,36,36,.500,11.0,33,39,104.3,105.3
Miami Heat,35,37,.486,12.0,38,34,102.7,102.0
Chicago Bulls,34,39,.466,13.5,34,39,102.3,103.5
Detroit Pistons,34,39,.466,13.5,34,39,101.3,102.4
Charlotte Hornets,32,40,.444,15.0,38,34,104.8,104.1
Philadelphia 76ers,27,45,.375,20.0,24,48,102.6,107.8
New York Knicks,27,46,.370,20.5,28,45,105.0,108.7
Orlando Magic,27,46,.370,20.5,23,50,100.4,106.3
Brooklyn Nets,15,57,.208,32.0,20,52,106.0,113.6
Golden State Warriors,58,14,.806,—,59,13,116.1,104.4
San Antonio Spurs,56,16,.778,2.0,54,18,106.3,98.4
Houston Rockets,50,22,.694,8.0,51,21,115.5,108.6
Utah Jazz,44,29,.603,14.5,46,27,100.3,96.7
Los Angeles Clippers,44,30,.595,15.0,45,29,108.0,104.5
Oklahoma City Thunder,41,30,.577,16.5,38,33,106.9,105.9
Memphis Grizzlies,40,32,.556,18.0,38,34,101.0,100.3
Denver Nuggets,35,37,.486,23.0,37,35,111.7,111.1
Portland Trail Blazers,34,38,.472,24.0,33,39,108.1,109.4
Dallas Mavericks,31,41,.431,27.0,30,42,97.8,100.2
New Orleans Pelicans,30,42,.417,28.0,31,41,103.6,105.8
Minnesota Timberwolves,28,44,.389,30.0,34,38,104.9,105.8
Sacramento Kings,27,45,.375,31.0,27,45,102.8,106.6
Phoenix Suns,22,51,.301,36.5,24,49,107.2,112.9
Los Angeles Lakers,21,51,.292,37.0,20,52,105.0,112.3
