Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,10,12,.455,—,11,11,95.2,95.8
Toronto Raptors,7,12,.368,1.5,9,10,97.7,98.4
Philadelphia 76ers,7,15,.318,3.0,6,16,102.0,109.5
Brooklyn Nets,6,14,.300,3.0,5,15,94.4,102.3
New York Knicks,5,14,.263,3.5,7,12,94.3,98.2
Indiana Pacers,18,3,.857,—,16,5,98.1,89.5
Detroit Pistons,10,11,.476,8.0,11,10,99.3,99.3
Chicago Bulls,8,10,.444,8.5,9,9,94.2,94.0
Cleveland Cavaliers,7,13,.350,10.5,5,15,92.4,99.6
Milwaukee Bucks,4,16,.200,13.5,4,16,90.8,99.4
Miami Heat,16,5,.762,—,16,5,103.5,95.9
Atlanta Hawks,11,10,.524,5.0,11,10,99.6,99.0
Charlotte Bobcats,10,11,.476,6.0,9,12,90.8,92.4
Washington Wizards,9,11,.450,6.5,9,11,98.1,98.9
Orlando Magic,6,15,.286,10.0,7,14,97.7,102.6
Portland Trail Blazers,18,4,.818,—,15,7,106.2,99.9
Oklahoma City Thunder,15,4,.789,1.5,13,6,104.7,99.1
Denver Nuggets,13,8,.619,4.5,12,9,102.6,100.0
Minnesota Timberwolves,9,11,.450,8.0,12,8,104.7,101.9
Utah Jazz,4,19,.174,14.5,4,19,92.1,102.1
Los Angeles Clippers,14,8,.636,—,14,8,104.1,99.6
Golden State Warriors,12,10,.545,2.0,13,9,103.0,99.9
Phoenix Suns,11,9,.550,2.0,11,9,101.2,99.5
Los Angeles Lakers,10,10,.500,3.0,9,11,101.0,103.0
Sacramento Kings,6,13,.316,6.5,8,11,98.7,100.8
San Antonio Spurs,15,4,.789,—,15,4,101.8,93.1
Houston Rockets,15,7,.682,1.5,15,7,107.5,101.2
Dallas Mavericks,13,9,.591,3.5,12,10,103.4,102.3
Memphis Grizzlies,10,10,.500,5.5,8,12,93.2,96.0
New Orleans Pelicans,9,10,.474,6.0,10,9,103.0,102.2
