Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,32,15,.681,—,35,12,97.0,89.7
Boston Celtics,26,21,.553,6.0,22,25,93.7,94.3
Philadelphia 76ers,25,22,.532,7.0,25,22,94.6,93.9
Orlando Magic,24,24,.500,8.5,22,26,97.6,98.8
Washington Wizards,23,25,.479,9.5,26,22,92.2,91.3
New York Knicks,20,26,.435,11.5,20,26,93.3,94.8
Miami Heat,16,31,.340,16.0,16,31,85.1,89.2
Indiana Pacers,34,14,.708,—,32,16,98.5,94.0
Detroit Pistons,31,15,.674,2.0,31,15,90.7,86.1
Milwaukee Bucks,24,22,.522,9.0,24,22,98.4,98.0
New Orleans Hornets,24,24,.500,10.0,26,22,94.2,92.9
Atlanta Hawks,18,29,.383,15.5,17,30,93.3,97.4
Chicago Bulls,17,30,.362,16.5,16,31,93.4,97.7
Toronto Raptors,12,34,.261,21.0,12,34,88.5,95.5
Cleveland Cavaliers,9,38,.191,24.5,9,38,90.5,100.7
Dallas Mavericks,37,9,.804,—,37,9,102.7,92.6
San Antonio Spurs,31,16,.660,6.5,31,16,93.4,89.2
Utah Jazz,28,19,.596,9.5,31,16,96.0,91.6
Minnesota Timberwolves,27,20,.574,10.5,25,22,96.7,96.0
Houston Rockets,25,20,.556,11.5,25,20,92.2,90.7
Memphis Grizzlies,13,32,.289,23.5,15,30,95.4,100.5
Denver Nuggets,10,36,.217,27.0,9,37,80.8,89.2
Sacramento Kings,33,15,.688,—,35,13,101.0,93.8
Portland Trail Blazers,29,16,.644,2.5,26,19,93.8,91.7
Phoenix Suns,28,21,.571,5.5,25,24,93.8,93.3
Los Angeles Lakers,22,23,.489,9.5,24,21,97.6,96.8
Seattle SuperSonics,21,24,.467,10.5,22,23,91.5,92.0
Golden State Warriors,20,26,.435,12.0,22,24,99.3,100.1
Los Angeles Clippers,17,29,.370,15.0,17,29,92.1,95.5
