Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,49,27,.645,—,51,25,96.3,91.6
Boston Celtics,44,32,.579,5.0,43,33,96.6,94.7
Orlando Magic,41,34,.547,7.5,42,33,101.0,99.3
Philadelphia 76ers,39,36,.520,9.5,43,32,91.1,89.1
Washington Wizards,35,42,.455,14.5,35,42,92.8,94.1
Miami Heat,33,42,.440,15.5,33,42,87.0,88.4
New York Knicks,29,46,.387,19.5,27,48,91.2,95.0
Detroit Pistons,46,30,.605,—,43,33,93.3,91.7
Charlotte Hornets,41,35,.539,5.0,41,35,93.7,92.8
Milwaukee Bucks,39,36,.520,6.5,38,37,97.9,97.5
Indiana Pacers,37,38,.493,8.5,37,38,96.8,96.9
Toronto Raptors,37,38,.493,8.5,34,41,91.1,92.3
Atlanta Hawks,31,45,.408,15.0,27,49,93.9,97.8
Cleveland Cavaliers,27,49,.355,19.0,28,48,94.6,98.2
Chicago Bulls,17,59,.224,29.0,15,61,88.3,97.4
Dallas Mavericks,52,23,.693,—,48,27,105.6,101.5
San Antonio Spurs,52,24,.684,0.5,53,23,96.8,91.1
Minnesota Timberwolves,47,29,.618,5.5,48,28,99.5,95.7
Utah Jazz,42,34,.553,10.5,42,34,96.3,94.8
Houston Rockets,27,48,.360,25.0,25,50,92.8,97.4
Denver Nuggets,24,51,.320,28.0,22,53,92.4,98.6
Memphis Grizzlies,20,56,.263,32.5,18,58,89.5,97.2
Sacramento Kings,56,19,.747,—,56,19,103.8,96.3
Los Angeles Lakers,53,23,.697,3.5,55,21,100.8,93.9
Portland Trail Blazers,46,30,.605,10.5,47,29,96.6,93.3
Seattle SuperSonics,43,34,.558,14.0,48,29,97.5,94.1
Los Angeles Clippers,37,39,.487,19.5,37,39,95.4,95.9
Phoenix Suns,34,43,.442,23.0,37,40,95.5,96.1
Golden State Warriors,20,56,.263,36.5,24,52,97.3,102.7
