Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Milwaukee Bucks,39,13,.750,—,40,12,117.2,107.2
Toronto Raptors,38,16,.704,2.0,36,18,113.8,108.5
Philadelphia 76ers,34,19,.642,5.5,32,21,115.5,112.0
Boston Celtics,34,19,.642,5.5,38,15,112.8,105.9
Indiana Pacers,34,19,.642,5.5,34,19,107.9,103.7
Brooklyn Nets,28,27,.509,12.5,27,28,111.1,111.5
Charlotte Hornets,26,26,.500,13.0,27,25,111.5,111.2
Miami Heat,24,27,.471,14.5,24,27,104.9,105.5
Detroit Pistons,23,29,.442,16.0,22,30,106.0,108.2
Orlando Magic,22,31,.415,17.5,21,32,104.3,107.4
Washington Wizards,22,31,.415,17.5,22,31,113.1,116.0
Atlanta Hawks,18,35,.340,21.5,15,38,110.9,118.2
Chicago Bulls,12,41,.226,27.5,12,41,101.8,111.1
Cleveland Cavaliers,11,42,.208,28.5,11,42,102.5,113.3
New York Knicks,10,42,.192,29.0,13,39,105.6,114.6
Golden State Warriors,37,15,.712,—,37,15,118.7,111.6
Denver Nuggets,37,16,.698,0.5,35,18,111.7,106.5
Oklahoma City Thunder,33,19,.635,4.0,34,18,114.8,109.8
Portland Trail Blazers,32,20,.615,5.0,31,21,113.1,110.0
San Antonio Spurs,32,23,.582,6.5,31,24,112.6,110.4
Houston Rockets,31,22,.585,6.5,29,24,112.8,111.1
Utah Jazz,30,24,.556,8.0,32,22,108.8,106.1
Los Angeles Clippers,29,25,.537,9.0,28,26,114.0,113.6
Sacramento Kings,28,25,.528,9.5,25,28,113.7,114.8
Los Angeles Lakers,27,26,.509,10.5,26,27,112.1,112.1
Minnesota Timberwolves,25,27,.481,12.0,26,26,111.4,111.2
Dallas Mavericks,24,28,.462,13.0,27,25,109.3,108.7
New Orleans Pelicans,23,31,.426,15.0,29,25,116.0,114.8
Memphis Grizzlies,21,33,.389,17.0,21,33,100.3,103.3
Phoenix Suns,11,44,.200,27.5,13,42,106.3,115.8
