Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,28,24,.538,—,26,26,98.7,98.5
New Jersey Nets,25,28,.472,3.5,25,28,96.9,97.9
New York Knicks,23,29,.442,5.0,23,29,100.1,101.9
Philadelphia 76ers,17,35,.327,11.0,19,33,95.0,99.1
Boston Celtics,12,38,.240,15.0,18,32,96.2,99.9
Detroit Pistons,32,18,.640,—,32,18,96.9,92.8
Cleveland Cavaliers,30,21,.588,2.5,30,21,96.0,93.5
Chicago Bulls,29,24,.547,4.5,34,19,99.3,95.3
Indiana Pacers,27,24,.529,5.5,25,26,96.5,96.6
Milwaukee Bucks,19,33,.365,14.0,19,33,99.5,103.7
Washington Wizards,28,21,.571,—,24,25,106.0,106.1
Miami Heat,26,26,.500,3.5,23,29,96.5,98.0
Orlando Magic,26,26,.500,3.5,27,25,94.2,93.4
Atlanta Hawks,20,31,.392,9.0,17,34,92.4,96.8
Charlotte Bobcats,18,33,.353,11.0,16,35,94.7,100.1
Utah Jazz,34,17,.667,—,31,20,102.4,99.5
Denver Nuggets,26,24,.520,7.5,28,22,105.8,104.0
Minnesota Timberwolves,24,27,.471,10.0,24,27,96.5,97.3
Portland Trail Blazers,22,31,.415,13.0,19,34,93.7,97.7
Seattle SuperSonics,19,32,.373,15.0,20,31,100.1,103.1
Phoenix Suns,39,12,.765,—,38,13,111.1,103.2
Los Angeles Lakers,30,23,.566,10.0,28,25,103.0,102.0
Los Angeles Clippers,25,27,.481,14.5,23,29,95.7,97.3
Golden State Warriors,24,29,.453,16.0,23,30,105.6,107.7
Sacramento Kings,22,28,.440,16.5,24,26,100.3,100.7
Dallas Mavericks,43,9,.827,—,39,13,100.3,92.8
San Antonio Spurs,34,18,.654,9.0,39,13,98.5,91.2
Houston Rockets,33,18,.647,9.5,36,15,96.2,90.5
New Orleans/Oklahoma City Hornets,24,28,.462,19.0,22,30,92.2,94.4
Memphis Grizzlies,14,39,.264,29.5,18,35,100.6,105.5
