Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,22,23,.489,—,21,24,97.3,98.0
New Jersey Nets,22,23,.489,—,23,22,98.0,98.0
New York Knicks,19,27,.413,3.5,20,26,100.3,102.5
Philadelphia 76ers,14,32,.304,8.5,15,31,95.2,99.9
Boston Celtics,12,31,.279,9.0,17,26,96.7,99.5
Chicago Bulls,26,19,.578,—,30,15,98.9,94.0
Detroit Pistons,25,17,.595,-0.5,25,17,96.5,93.7
Cleveland Cavaliers,25,19,.568,0.5,24,20,95.7,94.6
Indiana Pacers,23,21,.523,2.5,21,23,95.8,96.4
Milwaukee Bucks,18,26,.409,7.5,18,26,100.6,103.3
Washington Wizards,26,17,.605,—,23,20,107.1,105.8
Orlando Magic,23,22,.511,4.0,23,22,93.2,92.8
Miami Heat,19,25,.432,7.5,16,28,95.7,99.6
Atlanta Hawks,16,27,.372,10.0,14,29,91.5,96.4
Charlotte Bobcats,16,28,.364,10.5,14,30,95.2,100.3
Utah Jazz,29,17,.630,—,27,19,102.4,100.0
Denver Nuggets,22,20,.524,5.0,24,18,105.8,103.9
Minnesota Timberwolves,22,22,.500,6.0,21,23,96.4,97.0
Portland Trail Blazers,19,27,.413,10.0,15,31,93.1,97.8
Seattle SuperSonics,17,27,.386,11.0,19,25,99.6,101.9
Phoenix Suns,36,9,.800,—,34,11,111.6,102.8
Los Angeles Lakers,27,17,.614,8.5,24,20,104.4,103.0
Los Angeles Clippers,22,22,.500,13.5,21,23,96.5,97.3
Golden State Warriors,21,23,.477,14.5,21,23,106.1,106.8
Sacramento Kings,17,26,.395,18.0,20,23,100.2,101.3
Dallas Mavericks,36,9,.800,—,33,12,99.8,93.0
San Antonio Spurs,32,14,.696,4.5,35,11,98.6,90.7
Houston Rockets,28,16,.636,7.5,31,13,96.2,90.4
New Orleans/Oklahoma City Hornets,19,25,.432,16.5,17,27,90.9,94.1
Memphis Grizzlies,12,34,.261,24.5,16,30,100.7,105.5
