Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,15,15,.500,—,16,14,99.0,97.6
Boston Celtics,13,18,.419,2.5,14,17,95.1,96.8
Brooklyn Nets,10,21,.323,5.5,10,21,96.8,102.4
Philadelphia 76ers,10,21,.323,5.5,8,23,103.0,111.2
New York Knicks,9,21,.300,6.0,10,20,94.7,99.2
Indiana Pacers,25,6,.806,—,25,6,98.1,89.2
Detroit Pistons,14,19,.424,12.0,14,19,99.9,102.2
Chicago Bulls,12,18,.400,12.5,13,17,91.3,92.8
Cleveland Cavaliers,10,21,.323,15.0,9,22,96.2,102.4
Milwaukee Bucks,7,24,.226,18.0,8,23,92.7,100.2
Miami Heat,24,7,.774,—,22,9,104.5,97.5
Atlanta Hawks,18,14,.563,6.5,18,14,103.3,101.4
Washington Wizards,14,15,.483,9.0,14,15,98.9,99.6
Charlotte Bobcats,14,19,.424,11.0,14,19,92.3,94.4
Orlando Magic,10,21,.323,14.0,12,19,96.9,100.4
Oklahoma City Thunder,25,6,.806,—,23,8,105.7,97.6
Portland Trail Blazers,25,7,.781,0.5,22,10,108.3,102.6
Minnesota Timberwolves,16,16,.500,9.5,20,12,106.7,102.5
Denver Nuggets,14,17,.452,11.0,14,17,99.9,101.3
Utah Jazz,10,24,.294,16.5,8,26,92.7,100.9
Los Angeles Clippers,22,12,.647,—,23,11,104.7,99.3
Golden State Warriors,20,13,.606,1.5,21,12,102.8,98.4
Phoenix Suns,19,11,.633,1.0,18,12,103.7,100.5
Los Angeles Lakers,13,19,.406,8.0,11,21,98.9,103.3
Sacramento Kings,10,20,.333,10.0,11,19,100.4,104.0
San Antonio Spurs,25,7,.781,—,24,8,104.1,96.5
Houston Rockets,21,13,.618,5.0,21,13,105.7,102.5
Dallas Mavericks,19,13,.594,6.0,18,14,103.3,101.3
New Orleans Pelicans,14,16,.467,10.0,15,15,103.3,103.2
Memphis Grizzlies,13,17,.433,11.0,12,18,94.7,97.2
