Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,16,12,.571,—,15,13,96.2,95.0
Philadelphia 76ers,15,13,.536,1.0,15,13,103.1,101.7
Boston Celtics,11,15,.423,4.0,11,15,97.1,99.5
New York Knicks,7,19,.269,8.0,9,17,93.5,98.1
Toronto Raptors,6,22,.214,10.0,8,20,95.5,102.6
Detroit Pistons,23,3,.885,—,20,6,99.7,91.1
Cleveland Cavaliers,17,10,.630,6.5,18,9,101.7,97.2
Indiana Pacers,15,11,.577,8.0,16,10,92.7,89.8
Milwaukee Bucks,15,11,.577,8.0,11,15,97.7,99.6
Chicago Bulls,12,15,.444,11.5,11,16,95.3,97.9
Miami Heat,17,12,.586,—,18,11,98.1,94.9
Washington Wizards,12,14,.462,3.5,13,13,100.1,99.9
Orlando Magic,10,15,.400,5.0,9,16,88.5,92.2
Charlotte Bobcats,9,19,.321,7.5,12,16,96.0,98.4
Atlanta Hawks,7,19,.269,8.5,8,18,94.1,100.2
Minnesota Timberwolves,13,12,.520,—,15,10,92.2,89.5
Denver Nuggets,14,15,.483,1.0,16,13,99.4,98.0
Utah Jazz,13,16,.448,2.0,11,18,88.2,91.1
Seattle SuperSonics,12,14,.462,1.5,10,16,101.4,104.9
Portland Trail Blazers,9,18,.333,5.0,6,21,87.2,94.8
Phoenix Suns,16,10,.615,—,19,7,102.7,96.1
Los Angeles Clippers,16,11,.593,0.5,14,13,96.0,95.3
Los Angeles Lakers,15,13,.536,2.0,16,12,96.3,93.9
Golden State Warriors,14,14,.500,3.0,14,14,99.1,99.3
Sacramento Kings,11,17,.393,6.0,14,14,99.0,99.4
San Antonio Spurs,22,7,.759,—,20,9,96.0,90.2
Dallas Mavericks,21,7,.750,0.5,19,9,99.0,94.3
Memphis Grizzlies,16,10,.615,4.5,17,9,90.4,86.3
New Orleans/Oklahoma City Hornets,11,15,.423,9.5,10,16,90.8,94.0
Houston Rockets,10,16,.385,10.5,11,15,87.5,89.8
