Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,29,5,.853,—,28,6,101.2,90.6
New Jersey Nets,16,17,.485,12.5,14,19,99.5,102.0
Philadelphia 76ers,13,19,.406,15.0,14,18,94.3,96.2
Toronto Raptors,13,20,.394,15.5,13,20,96.7,99.7
New York Knicks,12,19,.387,15.5,12,19,104.2,107.8
Cleveland Cavaliers,27,5,.844,—,27,5,101.9,89.7
Detroit Pistons,20,11,.645,6.5,17,14,95.1,94.0
Milwaukee Bucks,16,18,.471,12.0,18,16,96.6,95.9
Chicago Bulls,14,19,.424,13.5,13,20,99.8,103.3
Indiana Pacers,11,21,.344,16.0,14,18,102.3,104.5
Orlando Magic,26,7,.788,—,25,8,100.5,93.0
Atlanta Hawks,21,11,.656,4.5,20,12,98.0,94.8
Miami Heat,17,14,.548,8.0,16,15,95.8,95.6
Charlotte Bobcats,11,22,.333,15.0,13,20,90.8,93.8
Washington Wizards,6,25,.194,19.0,8,23,94.6,101.5
Denver Nuggets,22,12,.647,—,21,13,103.3,100.1
Portland Trail Blazers,20,13,.606,1.5,20,13,98.3,94.9
Utah Jazz,19,15,.559,3.0,20,14,100.5,97.7
Minnesota Timberwolves,7,25,.219,14.0,9,23,96.5,103.0
Oklahoma City Thunder,4,30,.118,18.0,8,26,94.4,102.8
Los Angeles Lakers,26,5,.839,—,25,6,107.5,97.6
Phoenix Suns,19,12,.613,7.0,17,14,103.1,101.9
Golden State Warriors,10,25,.286,18.0,11,24,105.3,111.3
Los Angeles Clippers,8,24,.250,18.5,9,23,93.7,100.1
Sacramento Kings,8,25,.242,19.0,7,26,95.7,105.1
San Antonio Spurs,21,11,.656,—,20,12,96.7,93.4
Houston Rockets,21,13,.618,1.0,21,13,96.9,93.9
New Orleans Hornets,20,9,.690,-0.5,19,10,95.0,90.9
Dallas Mavericks,20,12,.625,1.0,20,12,99.9,96.7
Memphis Grizzlies,10,23,.303,11.5,10,23,94.2,99.9
