Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,54,24,.692,—,52,26,94.9,90.2
Miami Heat,47,30,.610,6.5,46,31,88.8,86.2
New York Knicks,46,31,.597,7.5,46,31,88.7,86.2
Orlando Magic,41,36,.532,12.5,41,36,97.5,96.7
Boston Celtics,35,43,.449,19.0,33,45,94.4,96.6
New Jersey Nets,26,52,.333,28.0,25,53,92.3,97.3
Washington Wizards,18,59,.234,35.5,21,56,92.4,99.3
Milwaukee Bucks,49,29,.628,—,48,30,100.6,97.2
Toronto Raptors,44,33,.571,4.5,46,31,98.0,95.4
Charlotte Hornets,42,36,.538,7.0,44,34,91.7,90.1
Indiana Pacers,37,40,.481,11.5,37,40,91.9,92.3
Detroit Pistons,30,47,.390,18.5,33,44,95.3,97.1
Cleveland Cavaliers,27,50,.351,21.5,26,51,91.9,96.5
Atlanta Hawks,23,54,.299,25.5,25,52,90.4,95.2
Chicago Bulls,12,65,.156,36.5,14,63,87.1,96.8
San Antonio Spurs,56,22,.718,—,61,17,96.2,87.8
Utah Jazz,51,26,.662,4.5,53,24,97.2,91.9
Dallas Mavericks,49,28,.636,6.5,49,28,99.9,95.8
Minnesota Timberwolves,46,31,.597,9.5,45,32,97.2,94.9
Houston Rockets,42,37,.532,14.5,45,34,96.8,94.9
Denver Nuggets,38,40,.487,18.0,32,46,96.3,98.8
Vancouver Grizzlies,22,56,.282,34.0,23,55,91.6,97.4
Sacramento Kings,53,24,.688,—,55,22,101.9,95.6
Los Angeles Lakers,53,26,.671,1.0,48,31,100.2,97.2
Portland Trail Blazers,49,29,.628,4.5,52,26,95.2,90.8
Phoenix Suns,47,30,.610,6.0,45,32,93.8,91.5
Seattle SuperSonics,42,36,.538,11.5,38,40,97.0,97.3
Los Angeles Clippers,28,50,.359,25.5,29,49,91.9,95.4
Golden State Warriors,17,60,.221,36.0,17,60,92.4,101.3
