Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,31,29,.517,—,32,28,101.1,99.9
Philadelphia 76ers,29,32,.475,2.5,26,35,98.1,100.0
New York Knicks,26,34,.433,5.0,25,35,96.8,99.3
New Jersey Nets,26,35,.426,5.5,21,40,89.9,94.0
Toronto Raptors,25,35,.417,6.0,27,33,99.0,100.5
Detroit Pistons,36,22,.621,—,37,21,92.3,88.8
Cleveland Cavaliers,32,27,.542,4.5,34,25,97.3,95.2
Chicago Bulls,30,27,.526,5.5,28,29,93.6,93.9
Indiana Pacers,30,30,.500,7.0,29,31,92.7,93.3
Milwaukee Bucks,25,34,.424,11.5,26,33,97.0,98.6
Miami Heat,46,16,.742,—,44,18,102.4,96.1
Washington Wizards,33,26,.559,11.5,29,30,100.5,100.8
Orlando Magic,31,28,.525,13.5,28,31,100.0,100.5
Charlotte Bobcats,12,46,.207,32.0,17,41,92.8,98.9
Atlanta Hawks,10,49,.169,34.5,12,47,90.8,100.1
Seattle SuperSonics,41,18,.695,—,38,21,100.6,96.5
Denver Nuggets,31,29,.517,10.5,30,30,95.9,95.9
Minnesota Timberwolves,31,30,.508,11.0,32,29,96.3,95.5
Portland Trail Blazers,22,36,.379,18.5,22,36,92.9,96.0
Utah Jazz,20,40,.333,21.5,23,37,95.0,98.3
Phoenix Suns,46,14,.767,—,44,16,110.8,103.0
Sacramento Kings,38,24,.613,9.0,35,27,102.4,100.4
Los Angeles Lakers,30,29,.508,15.5,28,31,98.3,99.2
Los Angeles Clippers,27,34,.443,19.5,29,32,95.5,96.0
Golden State Warriors,19,41,.317,27.0,21,39,95.5,99.9
San Antonio Spurs,47,13,.783,—,50,10,96.8,86.5
Dallas Mavericks,39,20,.661,7.5,39,20,102.5,97.9
Houston Rockets,35,25,.583,12.0,35,25,93.9,91.7
Memphis Grizzlies,34,26,.567,13.0,36,24,93.8,90.9
New Orleans Hornets,13,46,.220,33.5,15,44,87.9,95.0
