Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,47,14,.770,—,48,13,101.5,92.3
Philadelphia 76ers,29,30,.492,17.0,31,28,96.6,96.0
New Jersey Nets,26,33,.441,20.0,25,34,98.1,100.5
New York Knicks,24,35,.407,22.0,25,34,106.0,108.1
Toronto Raptors,23,38,.377,24.0,23,38,97.4,101.0
Cleveland Cavaliers,47,12,.797,—,47,12,100.1,90.6
Detroit Pistons,29,29,.500,17.5,27,31,93.2,94.1
Milwaukee Bucks,29,33,.468,19.5,31,31,99.7,99.7
Chicago Bulls,27,33,.450,20.5,27,33,100.8,102.3
Indiana Pacers,26,36,.419,22.5,27,35,104.6,106.4
Orlando Magic,43,16,.729,—,43,16,102.2,95.2
Atlanta Hawks,34,26,.567,9.5,33,27,98.4,97.1
Miami Heat,31,28,.525,12.0,29,30,96.8,97.1
Charlotte Bobcats,25,35,.417,18.5,26,34,92.8,94.7
Washington Wizards,14,46,.233,29.5,15,45,94.8,102.2
Denver Nuggets,39,21,.650,—,35,25,102.9,100.4
Portland Trail Blazers,37,22,.627,1.5,38,21,99.0,94.8
Utah Jazz,37,23,.617,2.0,38,22,103.1,99.3
Minnesota Timberwolves,18,41,.305,20.5,21,38,99.2,103.5
Oklahoma City Thunder,15,45,.250,24.0,19,41,98.3,104.1
Los Angeles Lakers,48,12,.800,—,45,15,108.8,100.8
Phoenix Suns,34,25,.576,13.5,34,25,107.2,105.1
Golden State Warriors,20,39,.339,27.5,23,36,108.1,111.6
Los Angeles Clippers,15,46,.246,33.5,14,47,94.8,103.4
Sacramento Kings,13,48,.213,35.5,14,47,99.1,108.3
San Antonio Spurs,40,19,.678,—,38,21,97.3,93.5
Houston Rockets,38,22,.633,2.5,38,22,98.6,94.7
New Orleans Hornets,37,22,.627,3.0,35,24,96.2,93.7
Dallas Mavericks,36,24,.600,4.5,33,27,100.9,99.4
Memphis Grizzlies,15,43,.259,24.5,16,42,93.3,99.7
