Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,22,5,.815,—,22,5,101.5,92.0
Toronto Raptors,13,17,.433,10.5,11,19,103.8,107.6
New York Knicks,11,17,.393,11.5,12,16,101.6,104.1
Philadelphia 76ers,7,21,.250,15.5,10,18,97.6,101.9
New Jersey Nets,2,26,.071,20.5,4,24,89.4,101.1
Cleveland Cavaliers,21,8,.724,—,20,9,99.6,94.1
Milwaukee Bucks,12,14,.462,7.5,14,12,98.0,97.3
Detroit Pistons,11,17,.393,9.5,11,17,92.6,95.3
Chicago Bulls,10,17,.370,10.0,7,20,90.9,98.2
Indiana Pacers,9,18,.333,11.0,10,17,97.3,101.3
Orlando Magic,21,7,.750,—,19,9,102.1,96.5
Atlanta Hawks,20,7,.741,0.5,21,6,105.5,96.6
Miami Heat,13,12,.520,6.5,12,13,97.9,98.1
Charlotte Bobcats,11,16,.407,9.5,13,14,91.2,92.1
Washington Wizards,9,17,.346,11.0,10,16,99.0,102.4
Denver Nuggets,19,9,.679,—,19,9,107.3,101.1
Portland Trail Blazers,18,12,.600,2.0,19,11,96.0,92.3
Utah Jazz,16,12,.571,3.0,16,12,101.2,99.0
Oklahoma City Thunder,13,14,.481,5.5,14,13,97.4,96.4
Minnesota Timberwolves,5,24,.172,14.5,5,24,94.1,105.2
Los Angeles Lakers,23,4,.852,—,21,6,103.6,95.0
Phoenix Suns,18,10,.643,5.5,17,11,108.3,105.3
Sacramento Kings,13,14,.481,10.0,13,14,103.9,104.7
Los Angeles Clippers,12,16,.429,11.5,11,17,95.6,98.4
Golden State Warriors,7,20,.259,16.0,9,18,106.5,111.9
Dallas Mavericks,20,9,.690,—,19,10,100.9,96.3
Houston Rockets,17,11,.607,2.5,16,12,101.5,99.5
San Antonio Spurs,15,10,.600,3.0,17,8,101.9,96.8
Memphis Grizzlies,13,15,.464,6.5,12,16,102.4,104.3
New Orleans Hornets,12,14,.462,6.5,10,16,98.1,101.2
