Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Miami Heat,29,17,.630,—,28,18,97.2,94.0
New York Knicks,28,17,.622,0.5,26,19,93.0,91.0
Philadelphia 76ers,26,21,.553,3.5,24,23,94.7,94.4
Orlando Magic,22,26,.458,8.0,23,25,101.4,101.7
Boston Celtics,21,26,.447,8.5,20,27,96.8,98.7
New Jersey Nets,18,29,.383,11.5,21,26,96.6,98.0
Washington Wizards,15,33,.313,15.0,17,31,96.1,100.4
Indiana Pacers,30,16,.652,—,32,14,102.0,96.1
Milwaukee Bucks,26,22,.542,5.0,25,23,103.1,102.7
Charlotte Hornets,25,20,.556,4.5,26,19,100.1,98.2
Toronto Raptors,25,20,.556,4.5,22,23,98.8,98.9
Detroit Pistons,24,23,.511,6.5,24,23,103.7,103.1
Cleveland Cavaliers,19,28,.404,11.5,18,29,97.7,101.1
Atlanta Hawks,18,27,.400,11.5,19,26,98.8,100.9
Chicago Bulls,10,35,.222,19.5,9,36,85.7,94.5
San Antonio Spurs,30,17,.638,—,34,13,96.1,89.4
Utah Jazz,28,18,.609,1.5,28,18,95.1,92.0
Minnesota Timberwolves,27,18,.600,2.0,25,20,97.5,95.8
Denver Nuggets,21,24,.467,8.0,20,25,98.5,100.4
Dallas Mavericks,20,27,.426,10.0,22,25,101.9,102.9
Houston Rockets,19,29,.396,11.5,22,26,98.5,99.9
Vancouver Grizzlies,13,33,.283,16.5,15,31,93.9,98.9
Portland Trail Blazers,36,11,.766,—,36,11,96.6,88.6
Los Angeles Lakers,35,11,.761,0.5,35,11,99.1,91.0
Seattle SuperSonics,30,19,.612,7.0,25,24,97.9,97.5
Sacramento Kings,28,18,.609,7.5,26,20,105.4,103.4
Phoenix Suns,27,19,.587,8.5,29,17,98.8,95.2
Golden State Warriors,12,33,.267,23.0,13,32,96.1,102.5
Los Angeles Clippers,11,36,.234,25.0,9,38,91.7,101.9
