Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,24,7,.774,—,23,8,108.5,100.1
Brooklyn Nets,14,16,.467,9.5,13,17,96.8,99.1
Boston Celtics,10,18,.357,12.5,13,15,103.3,104.4
New York Knicks,5,28,.152,20.0,9,24,94.6,101.4
Philadelphia 76ers,4,25,.138,19.0,4,25,90.8,102.6
Chicago Bulls,22,9,.710,—,20,11,103.1,98.5
Cleveland Cavaliers,18,12,.600,3.5,18,12,102.2,99.4
Milwaukee Bucks,16,16,.500,6.5,16,16,99.5,99.9
Indiana Pacers,11,21,.344,11.5,14,18,94.5,96.3
Detroit Pistons,7,23,.233,14.5,10,20,95.5,100.7
Atlanta Hawks,22,8,.733,—,20,10,101.9,97.3
Washington Wizards,22,8,.733,—,19,11,100.6,96.8
Miami Heat,14,18,.438,9.0,12,20,94.7,97.9
Orlando Magic,13,21,.382,11.0,11,23,94.2,99.1
Charlotte Hornets,10,22,.313,13.0,11,21,95.7,100.3
Portland Trail Blazers,25,7,.781,—,24,8,104.0,96.5
Oklahoma City Thunder,15,17,.469,10.0,18,14,98.0,96.1
Denver Nuggets,13,18,.419,11.5,13,18,101.5,104.3
Utah Jazz,10,21,.323,14.5,11,20,96.1,100.2
Minnesota Timberwolves,5,24,.172,18.5,6,23,98.5,109.0
Golden State Warriors,24,5,.828,—,22,7,107.4,98.7
Los Angeles Clippers,21,11,.656,4.5,21,11,106.1,100.9
Phoenix Suns,18,14,.563,7.5,18,14,105.7,103.7
Sacramento Kings,13,18,.419,12.0,14,17,102.5,104.0
Los Angeles Lakers,9,22,.290,16.0,9,22,102.3,109.2
Memphis Grizzlies,22,8,.733,—,20,10,102.3,97.6
Houston Rockets,21,9,.700,1.0,19,11,101.0,97.5
Dallas Mavericks,22,10,.688,1.0,22,10,109.5,103.2
San Antonio Spurs,19,13,.594,4.0,20,12,102.8,98.9
New Orleans Pelicans,15,15,.500,7.0,15,15,101.6,102.0
