Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,26,9,.743,—,28,7,98.5,88.8
Boston Celtics,19,14,.576,6.0,17,16,95.9,95.5
Philadelphia 76ers,19,15,.559,6.5,18,16,93.2,92.6
Orlando Magic,19,17,.528,7.5,17,19,97.5,98.4
Washington Wizards,17,17,.500,8.5,19,15,92.1,90.4
New York Knicks,12,19,.387,12.0,13,18,92.9,95.2
Miami Heat,12,22,.353,13.5,13,21,85.6,88.6
Indiana Pacers,24,10,.706,—,23,11,98.8,93.8
Detroit Pistons,22,10,.688,1.0,20,12,89.3,85.9
New Orleans Hornets,20,16,.556,5.0,21,15,94.5,92.3
Milwaukee Bucks,14,19,.424,9.5,16,17,99.8,100.2
Chicago Bulls,13,21,.382,11.0,11,23,93.5,98.6
Atlanta Hawks,12,21,.364,11.5,11,22,92.6,97.4
Toronto Raptors,8,27,.229,16.5,8,27,88.0,96.1
Cleveland Cavaliers,7,29,.194,18.0,6,30,89.9,100.2
Dallas Mavericks,28,5,.848,—,28,5,102.5,91.3
San Antonio Spurs,21,13,.618,7.5,22,12,92.5,88.6
Utah Jazz,19,14,.576,9.0,22,11,96.2,91.8
Houston Rockets,17,14,.548,10.0,19,12,91.8,89.1
Minnesota Timberwolves,17,15,.531,10.5,16,16,96.2,96.5
Memphis Grizzlies,11,22,.333,17.0,11,22,95.3,100.3
Denver Nuggets,7,26,.212,21.0,7,26,80.5,88.9
Sacramento Kings,25,9,.735,—,25,9,99.1,92.0
Phoenix Suns,21,13,.618,4.0,19,15,91.6,90.4
Portland Trail Blazers,20,12,.625,4.0,18,14,92.8,91.1
Seattle SuperSonics,16,16,.500,8.0,17,15,92.5,91.8
Golden State Warriors,14,19,.424,10.5,15,18,98.3,99.6
Los Angeles Lakers,14,20,.412,11.0,15,19,95.5,97.2
Los Angeles Clippers,12,22,.353,13.0,13,21,92.1,95.7
