Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,3,1,.750,—,3,1,104.8,98.0
Brooklyn Nets,2,1,.667,0.5,2,1,107.7,98.7
New York Knicks,2,2,.500,1.0,1,3,88.5,96.3
Boston Celtics,1,2,.333,1.5,1,2,108.0,109.0
Philadelphia 76ers,0,4,.000,3.0,1,3,90.3,103.5
Chicago Bulls,3,1,.750,—,3,1,104.0,97.3
Milwaukee Bucks,2,2,.500,1.0,2,2,95.8,94.5
Cleveland Cavaliers,1,2,.333,1.5,1,2,95.3,101.3
Indiana Pacers,1,3,.250,2.0,2,2,91.3,94.3
Detroit Pistons,0,3,.000,2.5,1,2,86.7,96.0
Washington Wizards,3,1,.750,—,3,1,101.5,96.3
Miami Heat,3,1,.750,—,3,1,104.8,100.3
Atlanta Hawks,1,1,.500,1.0,1,1,102.0,100.5
Charlotte Hornets,1,3,.250,2.0,2,2,90.3,93.3
Orlando Magic,0,4,.000,3.0,1,3,91.8,103.0
Portland Trail Blazers,2,2,.500,—,3,1,97.8,92.3
Denver Nuggets,1,2,.333,0.5,1,2,95.0,97.0
Minnesota Timberwolves,1,2,.333,0.5,2,1,101.0,100.7
Utah Jazz,1,3,.250,1.0,2,2,103.5,105.5
Oklahoma City Thunder,1,4,.200,1.5,1,4,90.8,101.2
Golden State Warriors,3,0,1.000,—,3,0,105.7,90.3
Los Angeles Clippers,3,1,.750,0.5,2,2,102.5,100.0
Phoenix Suns,3,1,.750,0.5,2,2,104.0,103.0
Sacramento Kings,3,1,.750,0.5,2,2,97.0,96.5
Los Angeles Lakers,0,5,.000,4.0,1,4,102.0,116.8
Houston Rockets,5,0,1.000,—,4,1,105.6,91.4
Memphis Grizzlies,4,0,1.000,0.5,3,1,91.5,85.0
Dallas Mavericks,3,1,.750,1.5,3,1,111.8,105.0
New Orleans Pelicans,2,2,.500,2.5,2,2,96.5,94.3
San Antonio Spurs,1,1,.500,2.5,1,1,95.0,97.0
