Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,31,15,.674,—,32,14,101.0,95.5
Brooklyn Nets,28,20,.583,4.0,26,22,95.5,94.5
Boston Celtics,24,23,.511,7.5,23,24,95.5,96.0
Philadelphia 76ers,21,26,.447,10.5,19,28,93.0,95.7
Toronto Raptors,17,31,.354,15.0,21,27,97.5,99.3
Indiana Pacers,30,19,.612,—,29,20,92.8,90.4
Chicago Bulls,29,19,.604,0.5,29,19,93.6,91.0
Milwaukee Bucks,25,22,.532,4.0,23,24,97.9,98.4
Detroit Pistons,18,31,.367,12.0,21,28,94.9,96.8
Cleveland Cavaliers,14,34,.292,15.5,16,32,96.0,101.2
Miami Heat,31,14,.689,—,31,14,102.3,96.5
Atlanta Hawks,26,21,.553,6.0,24,23,96.4,96.3
Orlando Magic,14,34,.292,18.5,16,32,94.1,98.9
Washington Wizards,12,35,.255,20.0,15,32,91.0,95.7
Charlotte Bobcats,11,36,.234,21.0,11,36,94.5,103.0
Oklahoma City Thunder,36,12,.750,—,37,11,105.9,97.4
Denver Nuggets,31,18,.633,5.5,30,19,104.2,100.7
Utah Jazz,27,22,.551,9.5,23,26,98.0,98.8
Portland Trail Blazers,25,23,.521,11.0,21,27,96.9,98.6
Minnesota Timberwolves,18,27,.400,16.5,20,25,95.3,97.0
Los Angeles Clippers,34,16,.680,—,36,14,100.2,93.7
Golden State Warriors,30,18,.625,3.0,26,22,101.3,100.3
Los Angeles Lakers,23,26,.469,10.5,27,22,102.1,100.5
Phoenix Suns,17,32,.347,16.5,17,32,95.6,99.8
Sacramento Kings,17,33,.340,17.0,13,37,95.8,103.1
San Antonio Spurs,38,11,.776,—,38,11,104.1,95.7
Memphis Grizzlies,30,17,.638,7.0,29,18,93.1,89.7
Houston Rockets,27,23,.540,11.5,30,20,105.8,102.7
Dallas Mavericks,20,28,.417,17.5,20,28,100.5,103.1
New Orleans Hornets,15,33,.313,22.5,16,32,93.5,98.1
