Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,6,0,1.000,—,5,1,112.3,103.5
Charlotte Hornets,4,1,.800,1.5,4,1,102.0,95.8
Atlanta Hawks,4,2,.667,2.0,5,1,107.3,96.8
Toronto Raptors,4,2,.667,2.0,4,2,100.8,95.5
Detroit Pistons,4,2,.667,2.0,4,2,100.5,93.0
Milwaukee Bucks,4,3,.571,2.5,4,3,103.3,101.4
Boston Celtics,3,3,.500,3.0,3,3,110.2,111.8
Chicago Bulls,3,3,.500,3.0,4,2,106.5,103.8
Indiana Pacers,3,3,.500,3.0,3,3,109.7,111.5
Orlando Magic,3,3,.500,3.0,2,4,95.0,100.3
Miami Heat,2,3,.400,3.5,3,2,98.6,98.2
Brooklyn Nets,2,4,.333,4.0,2,4,103.3,107.3
New York Knicks,2,4,.333,4.0,2,4,102.2,109.8
Washington Wizards,1,4,.200,4.5,1,4,97.2,103.8
Philadelphia 76ers,0,5,.000,5.5,1,4,92.8,104.2
Los Angeles Clippers,5,1,.833,—,5,1,102.7,90.7
Oklahoma City Thunder,5,1,.833,—,4,2,103.7,100.0
San Antonio Spurs,5,2,.714,0.5,5,2,102.6,97.1
Golden State Warriors,4,2,.667,1.0,3,3,112.3,110.0
Utah Jazz,4,3,.571,1.5,4,3,96.9,95.9
Portland Trail Blazers,4,3,.571,1.5,3,4,108.3,109.3
Los Angeles Lakers,4,3,.571,1.5,4,3,110.3,108.4
Houston Rockets,3,3,.500,2.0,3,3,108.0,108.2
Denver Nuggets,3,3,.500,2.0,3,3,105.5,105.2
Memphis Grizzlies,3,4,.429,2.5,2,5,95.6,101.4
Sacramento Kings,3,5,.375,3.0,3,5,98.1,102.9
Phoenix Suns,2,5,.286,3.5,2,5,105.7,113.3
Minnesota Timberwolves,1,4,.200,3.5,3,2,101.6,100.4
Dallas Mavericks,1,5,.167,4.0,2,4,95.5,101.0
New Orleans Pelicans,0,6,.000,5.0,2,4,100.3,107.5
