Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,13,11,.542,—,11,13,96.5,97.1
Boston Celtics,11,12,.478,1.5,13,10,101.2,98.7
Philadelphia 76ers,10,13,.435,2.5,9,14,96.1,99.2
Toronto Raptors,9,17,.346,5.0,11,15,96.7,98.8
New Jersey Nets,7,16,.304,5.5,6,17,85.7,92.5
Cleveland Cavaliers,14,10,.583,—,14,10,96.4,93.7
Detroit Pistons,12,11,.522,1.5,12,11,88.8,88.5
Indiana Pacers,12,11,.522,1.5,10,13,93.0,94.8
Chicago Bulls,7,15,.318,6.0,7,15,90.1,94.5
Milwaukee Bucks,6,15,.286,6.5,8,13,94.9,98.4
Miami Heat,19,7,.731,—,17,9,100.0,95.2
Orlando Magic,14,10,.583,4.0,13,11,101.8,101.0
Washington Wizards,13,9,.591,4.0,12,10,101.4,99.7
Charlotte Bobcats,6,14,.300,10.0,6,14,95.2,100.4
Atlanta Hawks,4,20,.167,14.0,4,20,88.0,99.6
Seattle SuperSonics,18,5,.783,—,16,7,100.7,94.7
Minnesota Timberwolves,15,8,.652,3.0,16,7,100.6,95.4
Denver Nuggets,13,11,.542,5.5,11,13,95.0,96.5
Portland Trail Blazers,12,11,.522,6.0,11,12,90.2,91.0
Utah Jazz,10,15,.400,9.0,11,14,95.9,97.7
Phoenix Suns,21,3,.875,—,20,4,109.5,97.6
Sacramento Kings,16,7,.696,4.5,14,9,101.9,98.3
Los Angeles Lakers,13,10,.565,7.5,12,11,98.5,97.9
Los Angeles Clippers,11,12,.478,9.5,13,10,96.7,95.1
Golden State Warriors,7,17,.292,14.0,7,17,92.8,99.0
San Antonio Spurs,20,5,.800,—,21,4,96.0,84.8
Dallas Mavericks,16,9,.640,4.0,16,9,98.6,94.4
Houston Rockets,11,13,.458,8.5,11,13,88.0,88.8
Memphis Grizzlies,11,15,.423,9.5,13,13,91.8,92.3
New Orleans Hornets,2,21,.087,17.0,5,18,84.7,93.5
