Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,8,1,.889,—,8,1,100.7,88.9
Philadelphia 76ers,7,4,.636,2.0,5,6,90.5,90.8
Brooklyn Nets,6,3,.667,2.0,6,3,96.7,92.8
Boston Celtics,6,5,.545,3.0,5,6,96.9,98.1
Toronto Raptors,3,8,.273,6.0,4,7,96.3,100.4
Milwaukee Bucks,6,3,.667,—,5,4,100.7,97.9
Chicago Bulls,5,5,.500,1.5,5,5,94.8,94.2
Indiana Pacers,5,7,.417,2.5,5,7,88.8,90.0
Cleveland Cavaliers,2,8,.200,4.5,3,7,95.7,102.7
Detroit Pistons,2,9,.182,5.0,4,7,93.9,98.3
Miami Heat,8,3,.727,—,7,4,103.5,99.1
Atlanta Hawks,5,4,.556,2.0,5,4,92.9,91.2
Charlotte Bobcats,5,4,.556,2.0,4,5,96.6,99.0
Orlando Magic,3,7,.300,4.5,3,7,88.4,94.4
Washington Wizards,0,9,.000,7.0,2,7,86.9,94.6
Oklahoma City Thunder,8,3,.727,—,8,3,101.7,95.2
Utah Jazz,6,6,.500,2.5,7,5,98.1,96.9
Minnesota Timberwolves,5,4,.556,2.0,5,4,91.8,90.4
Portland Trail Blazers,5,5,.500,2.5,5,5,100.4,101.8
Denver Nuggets,5,6,.455,3.0,5,6,98.5,100.0
Los Angeles Clippers,8,2,.800,—,8,2,101.5,92.6
Golden State Warriors,6,5,.545,2.5,5,6,98.5,100.3
Los Angeles Lakers,6,5,.545,2.5,7,4,100.0,95.0
Phoenix Suns,4,7,.364,4.5,3,8,98.3,104.3
Sacramento Kings,2,8,.200,6.0,2,8,91.2,100.0
Memphis Grizzlies,8,2,.800,—,8,2,100.2,92.6
San Antonio Spurs,8,3,.727,0.5,7,4,98.7,94.3
Dallas Mavericks,6,6,.500,3.0,6,6,100.8,99.8
Houston Rockets,4,7,.364,4.5,5,6,99.4,100.9
New Orleans Hornets,3,6,.333,4.5,3,6,91.7,96.9
