Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,19,4,.826,—,17,6,104.0,96.8
Cleveland Cavaliers,15,7,.682,3.5,13,9,111.2,108.8
Toronto Raptors,14,7,.667,4.0,15,6,110.9,103.7
Detroit Pistons,14,7,.667,4.0,12,9,105.1,102.7
Philadelphia 76ers,12,9,.571,6.0,11,10,108.5,108.0
Washington Wizards,12,10,.545,6.5,14,8,107.8,103.8
Indiana Pacers,12,11,.522,7.0,12,11,108.6,108.3
Milwaukee Bucks,11,9,.550,6.5,9,11,102.9,103.9
New York Knicks,11,10,.524,7.0,11,10,104.5,103.8
Miami Heat,11,11,.500,7.5,9,13,100.2,102.8
Orlando Magic,9,14,.391,10.0,9,14,108.1,111.8
Brooklyn Nets,8,13,.381,10.0,8,13,110.1,113.2
Charlotte Hornets,8,13,.381,10.0,9,12,105.5,107.0
Atlanta Hawks,4,17,.190,14.0,7,14,102.8,108.8
Chicago Bulls,3,18,.143,15.0,4,17,95.9,107.0
Houston Rockets,17,4,.810,—,17,4,113.9,103.1
Golden State Warriors,17,6,.739,1.0,18,5,118.0,107.3
San Antonio Spurs,15,7,.682,2.5,14,8,101.5,97.5
Portland Trail Blazers,13,9,.591,4.5,14,8,102.6,99.0
Minnesota Timberwolves,13,10,.565,5.0,12,11,107.7,107.4
Denver Nuggets,12,9,.571,5.0,10,11,106.5,106.6
Utah Jazz,12,11,.522,6.0,14,9,103.1,100.0
New Orleans Pelicans,11,11,.500,6.5,10,12,108.0,109.1
Oklahoma City Thunder,9,12,.429,8.0,13,8,102.7,99.6
Los Angeles Clippers,8,12,.400,8.5,9,11,106.0,107.2
Los Angeles Lakers,8,13,.381,9.0,9,12,106.6,108.7
Phoenix Suns,8,15,.348,10.0,6,17,106.9,115.8
Memphis Grizzlies,7,14,.333,10.0,8,13,97.7,100.8
Sacramento Kings,7,15,.318,10.5,4,18,95.3,105.5
Dallas Mavericks,5,17,.227,12.5,7,15,99.5,104.7
