Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,5,5,.500,—,4,6,94.6,96.3
Toronto Raptors,5,7,.417,1.0,5,7,96.1,98.1
Boston Celtics,4,5,.444,0.5,6,3,96.0,91.6
Philadelphia 76ers,4,6,.400,1.0,4,6,94.3,97.3
New Jersey Nets,2,8,.200,3.0,2,8,82.1,92.6
Indiana Pacers,8,3,.727,—,6,5,96.8,94.9
Cleveland Cavaliers,6,4,.600,1.5,7,3,98.3,92.4
Detroit Pistons,5,5,.500,2.5,4,6,95.7,98.1
Milwaukee Bucks,3,6,.333,4.0,4,5,97.7,99.4
Chicago Bulls,0,9,.000,7.0,1,8,90.3,101.6
Miami Heat,8,4,.667,—,7,5,99.9,98.3
Orlando Magic,6,3,.667,0.5,5,4,97.2,96.2
Washington Wizards,6,4,.600,1.0,5,5,100.7,100.8
Atlanta Hawks,2,8,.200,5.0,1,9,86.1,98.8
Charlotte Bobcats,2,8,.200,5.0,3,7,95.3,101.8
Seattle SuperSonics,10,2,.833,—,9,3,99.5,92.5
Utah Jazz,7,4,.636,2.5,8,3,98.9,91.1
Minnesota Timberwolves,6,4,.600,3.0,5,5,95.4,94.1
Denver Nuggets,6,5,.545,3.5,5,6,95.5,96.7
Portland Trail Blazers,5,5,.500,4.0,5,5,90.6,89.6
Phoenix Suns,9,2,.818,—,9,2,107.0,94.6
Sacramento Kings,7,4,.636,2.0,5,6,99.5,99.8
Los Angeles Lakers,7,5,.583,2.5,6,6,97.2,97.6
Los Angeles Clippers,5,6,.455,4.0,6,5,97.0,94.7
Golden State Warriors,3,8,.273,6.0,3,8,88.0,94.7
San Antonio Spurs,8,3,.727,—,8,3,95.2,88.3
Dallas Mavericks,8,4,.667,0.5,8,4,100.6,96.2
Houston Rockets,6,7,.462,3.0,6,7,89.2,89.4
Memphis Grizzlies,5,6,.455,3.0,7,4,96.8,93.8
New Orleans Hornets,1,9,.100,6.5,3,7,91.9,97.5
