Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,10,2,.833,—,9,3,108.6,101.6
Atlanta Hawks,9,3,.750,1.0,9,3,106.8,98.3
Charlotte Hornets,8,3,.727,1.5,7,4,105.0,99.5
Chicago Bulls,8,4,.667,2.0,9,3,105.0,97.8
Toronto Raptors,8,4,.667,2.0,8,4,108.3,104.3
Boston Celtics,6,6,.500,4.0,6,6,104.8,105.7
Indiana Pacers,6,7,.462,4.5,6,7,105.5,107.5
Detroit Pistons,6,7,.462,4.5,6,7,97.2,97.5
Milwaukee Bucks,5,6,.455,4.5,5,6,100.7,101.9
New York Knicks,5,7,.417,5.0,4,8,102.3,107.2
Orlando Magic,5,7,.417,5.0,3,9,92.3,100.9
Brooklyn Nets,4,8,.333,6.0,4,8,106.3,112.0
Washington Wizards,3,8,.273,6.5,4,7,101.8,105.3
Miami Heat,3,8,.273,6.5,5,6,94.5,95.3
Philadelphia 76ers,2,10,.167,8.0,2,10,95.9,108.4
Los Angeles Clippers,11,2,.846,—,11,2,109.6,95.4
Golden State Warriors,10,2,.833,0.5,9,3,116.3,107.6
San Antonio Spurs,10,3,.769,1.0,9,4,103.0,97.6
Oklahoma City Thunder,8,5,.615,3.0,7,6,104.8,102.9
Houston Rockets,7,5,.583,3.5,7,5,108.9,105.2
Memphis Grizzlies,7,5,.583,3.5,5,7,97.2,99.2
Utah Jazz,7,6,.538,4.0,8,5,95.9,93.2
Los Angeles Lakers,7,6,.538,4.0,7,6,109.8,109.0
Portland Trail Blazers,7,7,.500,4.5,5,9,106.7,112.4
Minnesota Timberwolves,4,7,.364,6.0,7,4,108.1,104.3
Denver Nuggets,4,8,.333,6.5,5,7,106.0,108.3
Phoenix Suns,4,9,.308,7.0,4,9,108.6,114.5
Sacramento Kings,4,9,.308,7.0,5,8,101.4,105.5
New Orleans Pelicans,3,10,.231,8.0,4,9,101.1,106.9
Dallas Mavericks,2,9,.182,8.0,3,8,91.0,98.4
