Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,24,7,.774,—,24,7,98.9,91.1
New York Knicks,18,14,.563,6.5,17,15,107.4,106.7
Philadelphia 76ers,13,20,.394,12.0,16,17,96.5,97.4
Toronto Raptors,11,21,.344,13.5,12,20,100.9,104.8
New Jersey Nets,9,24,.273,16.0,10,23,92.4,98.1
Chicago Bulls,21,10,.677,—,21,10,99.4,94.1
Indiana Pacers,14,17,.452,7.0,15,16,97.0,97.5
Milwaukee Bucks,12,18,.400,8.5,12,18,90.3,92.6
Detroit Pistons,11,22,.333,11.0,11,22,95.4,99.8
Cleveland Cavaliers,8,24,.250,13.5,7,25,93.7,102.8
Miami Heat,25,9,.735,—,27,7,101.4,91.9
Orlando Magic,21,12,.636,3.5,22,11,97.8,93.2
Atlanta Hawks,21,14,.600,4.5,20,15,96.5,94.7
Charlotte Bobcats,11,20,.355,12.5,10,21,92.6,97.4
Washington Wizards,8,23,.258,15.5,9,22,96.1,102.4
Oklahoma City Thunder,23,11,.676,—,20,14,103.8,101.2
Utah Jazz,22,11,.667,0.5,20,13,99.9,97.1
Denver Nuggets,18,13,.581,3.5,18,13,106.5,104.5
Portland Trail Blazers,17,16,.515,5.5,16,17,94.8,94.8
Minnesota Timberwolves,8,25,.242,14.5,10,23,103.0,109.6
Los Angeles Lakers,23,10,.697,—,23,10,103.8,97.5
Phoenix Suns,14,17,.452,8.0,14,17,107.0,108.9
Golden State Warriors,13,19,.406,9.5,11,21,101.5,105.9
Los Angeles Clippers,10,23,.303,13.0,12,21,97.1,100.8
Sacramento Kings,6,23,.207,15.0,8,21,94.7,101.3
San Antonio Spurs,28,4,.875,—,24,8,105.7,97.4
Dallas Mavericks,24,7,.774,3.5,21,10,98.5,93.3
New Orleans Hornets,19,14,.576,9.5,18,15,93.9,92.4
Houston Rockets,16,16,.500,12.0,18,14,106.0,104.4
Memphis Grizzlies,14,18,.438,14.0,16,16,99.7,99.8
