Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,38,24,.613,—,39,23,89.6,86.4
New York Knicks,29,36,.446,10.5,29,36,91.5,93.0
Boston Celtics,29,36,.446,10.5,30,35,94.4,95.5
Miami Heat,28,36,.438,11.0,29,35,88.7,89.9
Philadelphia 76ers,27,38,.415,12.5,28,37,88.8,90.5
Washington Wizards,20,42,.323,18.0,19,43,90.8,96.1
Orlando Magic,18,48,.273,22.0,20,46,95.1,101.0
Indiana Pacers,48,16,.750,—,44,20,90.4,85.3
Detroit Pistons,41,25,.621,8.0,44,22,89.9,85.6
Milwaukee Bucks,33,30,.524,14.5,35,28,97.6,96.2
New Orleans Hornets,33,30,.524,14.5,32,31,92.0,92.0
Cleveland Cavaliers,28,36,.438,20.0,27,37,92.8,95.1
Toronto Raptors,27,37,.422,21.0,25,39,84.4,87.3
Atlanta Hawks,20,43,.317,27.5,18,45,89.8,95.7
Chicago Bulls,18,45,.286,29.5,18,45,89.4,95.3
Minnesota Timberwolves,45,19,.703,—,45,19,95.4,89.8
San Antonio Spurs,42,22,.656,3.0,46,18,90.8,84.8
Dallas Mavericks,40,23,.635,4.5,40,23,103.6,99.7
Memphis Grizzlies,40,24,.625,5.0,38,26,96.8,94.2
Houston Rockets,37,26,.587,7.5,38,25,88.7,86.0
Denver Nuggets,34,31,.523,11.5,35,30,97.1,96.0
Utah Jazz,32,32,.500,13.0,29,35,89.1,90.5
Sacramento Kings,47,16,.746,—,46,17,104.5,97.5
Los Angeles Lakers,41,22,.651,6.0,40,23,97.9,94.2
Portland Trail Blazers,30,33,.476,17.0,27,36,91.0,93.0
Seattle SuperSonics,27,37,.422,20.5,28,36,96.6,98.3
Los Angeles Clippers,26,37,.413,21.0,26,37,95.9,98.6
Golden State Warriors,25,37,.403,21.5,28,34,93.4,94.8
Phoenix Suns,21,43,.328,26.5,24,40,93.7,97.2
