Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,21,17,.553,—,23,15,89.2,86.8
Boston Celtics,20,22,.476,3.0,21,21,94.8,95.0
Philadelphia 76ers,18,22,.450,4.0,20,20,89.2,89.3
New York Knicks,18,24,.429,5.0,18,24,91.8,93.6
Miami Heat,16,24,.400,6.0,13,27,86.1,90.5
Washington Wizards,11,28,.282,10.5,12,27,88.6,94.1
Orlando Magic,10,31,.244,12.5,13,28,94.0,99.7
Indiana Pacers,31,11,.738,—,29,13,89.4,84.5
Detroit Pistons,28,13,.683,2.5,28,13,90.1,85.3
New Orleans Hornets,23,17,.575,7.0,21,19,91.6,90.8
Milwaukee Bucks,22,18,.550,8.0,23,17,95.2,93.5
Toronto Raptors,20,18,.526,9.0,16,22,84.2,86.2
Cleveland Cavaliers,13,27,.325,17.0,15,25,91.0,94.5
Chicago Bulls,12,28,.300,18.0,11,29,89.2,95.5
Atlanta Hawks,12,29,.293,18.5,10,31,87.8,94.8
Minnesota Timberwolves,26,12,.684,—,26,12,95.0,89.7
San Antonio Spurs,26,14,.650,1.0,30,10,89.9,83.2
Dallas Mavericks,24,16,.600,3.0,23,17,102.8,100.3
Houston Rockets,23,16,.590,3.5,25,14,87.3,83.6
Denver Nuggets,23,18,.561,4.5,23,18,97.0,95.2
Memphis Grizzlies,21,18,.538,5.5,21,18,97.2,95.8
Utah Jazz,21,18,.538,5.5,21,18,91.9,91.2
Sacramento Kings,28,9,.757,—,28,9,105.1,96.6
Los Angeles Lakers,25,12,.676,3.0,25,12,100.2,94.8
Seattle SuperSonics,19,19,.500,9.5,17,21,97.5,99.0
Los Angeles Clippers,16,21,.432,12.0,16,21,95.5,97.6
Portland Trail Blazers,16,22,.421,12.5,14,24,90.7,94.4
Golden State Warriors,16,23,.410,13.0,16,23,93.1,95.4
Phoenix Suns,14,26,.350,15.5,15,25,93.3,96.8
