Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Milwaukee Bucks,37,13,.740,—,39,11,117.0,107.3
Toronto Raptors,37,16,.698,1.5,35,18,113.7,108.6
Philadelphia 76ers,34,18,.654,4.0,32,20,115.6,111.9
Boston Celtics,32,19,.627,5.5,36,15,112.4,105.6
Indiana Pacers,32,19,.627,5.5,32,19,108.1,103.9
Brooklyn Nets,28,25,.528,10.5,27,26,111.9,111.6
Miami Heat,24,25,.490,12.5,24,25,105.3,105.5
Charlotte Hornets,24,26,.480,13.0,25,25,111.5,111.4
Detroit Pistons,22,28,.440,15.0,21,29,105.6,108.3
Washington Wizards,22,29,.431,15.5,21,30,112.7,115.3
Orlando Magic,21,31,.404,17.0,20,32,104.3,107.8
Atlanta Hawks,16,34,.320,21.0,14,36,110.2,117.9
Chicago Bulls,12,40,.231,26.0,12,40,101.4,110.8
Cleveland Cavaliers,11,41,.212,27.0,10,42,102.6,113.3
New York Knicks,10,40,.200,27.0,12,38,106.2,115.0
Golden State Warriors,36,15,.706,—,36,15,118.8,111.8
Denver Nuggets,35,15,.700,0.5,34,16,111.5,105.8
Oklahoma City Thunder,32,18,.640,3.5,33,17,114.5,109.5
Portland Trail Blazers,32,20,.615,4.5,31,21,113.1,110.0
San Antonio Spurs,31,22,.585,6.0,31,22,112.6,110.1
Houston Rockets,29,21,.580,6.5,27,23,112.3,110.9
Utah Jazz,29,23,.558,7.5,31,21,108.6,105.7
Los Angeles Clippers,28,24,.538,8.5,27,25,114.3,113.7
Los Angeles Lakers,27,25,.519,9.5,26,26,112.3,112.1
Sacramento Kings,26,25,.510,10.0,23,28,113.4,115.0
Minnesota Timberwolves,25,26,.490,11.0,26,25,111.5,111.3
Dallas Mavericks,23,28,.451,13.0,26,25,109.3,108.9
New Orleans Pelicans,23,29,.442,13.5,28,24,116.3,114.9
Memphis Grizzlies,20,32,.385,16.5,20,32,100.5,103.8
Phoenix Suns,11,42,.208,26.0,12,41,106.1,115.7
