Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,25,20,.556,—,33,12,94.1,87.8
Boston Celtics,23,21,.523,1.5,23,21,91.4,90.9
New York Knicks,21,24,.467,4.0,25,20,97.8,96.0
Toronto Raptors,15,30,.333,10.0,16,29,91.0,94.8
New Jersey Nets,15,31,.326,10.5,13,33,92.6,98.8
Chicago Bulls,37,10,.787,—,37,10,97.9,89.3
Indiana Pacers,25,18,.581,10.0,25,18,95.3,92.9
Milwaukee Bucks,20,24,.455,15.5,20,24,97.5,98.7
Cleveland Cavaliers,16,25,.390,18.0,15,26,94.8,98.8
Detroit Pistons,16,28,.364,19.5,13,31,90.4,96.1
Miami Heat,32,11,.744,—,33,10,102.1,93.9
Orlando Magic,29,16,.644,4.0,27,18,94.6,92.1
Atlanta Hawks,25,19,.568,7.5,25,19,93.9,92.2
Washington Wizards,10,33,.233,22.0,10,33,93.8,102.0
Charlotte Bobcats,7,36,.163,25.0,6,37,87.4,100.3
Oklahoma City Thunder,33,11,.750,—,31,13,102.5,96.7
Denver Nuggets,25,20,.556,8.5,26,19,103.7,101.3
Utah Jazz,22,22,.500,11.0,21,23,97.6,98.3
Minnesota Timberwolves,22,23,.489,11.5,24,21,98.2,97.5
Portland Trail Blazers,21,23,.477,12.0,25,19,97.2,95.0
Los Angeles Lakers,28,16,.636,—,26,18,95.2,92.6
Los Angeles Clippers,25,18,.581,2.5,25,18,97.5,95.5
Phoenix Suns,22,22,.500,6.0,20,24,96.4,97.5
Golden State Warriors,18,24,.429,9.0,19,23,98.2,99.9
Sacramento Kings,15,29,.341,13.0,13,31,96.6,103.1
San Antonio Spurs,29,14,.674,—,27,16,100.8,96.8
Dallas Mavericks,26,20,.565,4.5,27,19,94.7,92.6
Memphis Grizzlies,24,18,.571,4.5,24,18,95.0,93.1
Houston Rockets,24,21,.533,6.0,23,22,97.9,97.6
New Orleans Hornets,11,34,.244,19.0,14,31,88.8,93.8
