Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,49,16,.754,—,50,15,101.3,92.8
Philadelphia 76ers,31,31,.500,16.5,32,30,96.7,96.2
New Jersey Nets,28,36,.438,20.5,27,37,98.8,101.0
New York Knicks,27,37,.422,21.5,28,36,106.3,108.2
Toronto Raptors,23,42,.354,26.0,24,41,97.7,101.5
Cleveland Cavaliers,51,13,.797,—,51,13,100.0,90.7
Detroit Pistons,32,31,.508,18.5,30,33,93.8,94.3
Milwaukee Bucks,30,37,.448,22.5,32,35,99.9,100.4
Chicago Bulls,29,36,.446,22.5,29,36,100.9,102.5
Indiana Pacers,28,38,.424,24.0,29,37,104.8,106.5
Orlando Magic,47,17,.734,—,47,17,102.0,94.9
Atlanta Hawks,37,28,.569,10.5,36,29,98.1,96.8
Miami Heat,35,29,.547,12.0,32,32,98.2,98.2
Charlotte Bobcats,28,36,.438,19.0,28,36,93.1,94.6
Washington Wizards,15,50,.231,32.5,17,48,94.7,102.3
Utah Jazz,41,24,.631,—,41,24,103.1,99.1
Denver Nuggets,41,25,.621,0.5,38,28,102.7,100.3
Portland Trail Blazers,40,24,.625,0.5,41,23,99.0,95.1
Minnesota Timberwolves,19,45,.297,21.5,22,42,98.9,103.5
Oklahoma City Thunder,18,47,.277,23.0,21,44,97.9,103.4
Los Angeles Lakers,52,13,.800,—,48,17,108.3,100.4
Phoenix Suns,34,31,.523,18.0,35,30,107.5,106.2
Golden State Warriors,22,42,.344,29.5,25,39,108.0,111.5
Los Angeles Clippers,15,49,.234,36.5,15,49,94.8,103.5
Sacramento Kings,14,50,.219,37.5,15,49,99.5,108.2
San Antonio Spurs,43,21,.672,—,41,23,97.5,93.5
Houston Rockets,42,24,.636,2.0,42,24,98.8,95.0
New Orleans Hornets,40,23,.635,2.5,38,25,96.4,93.6
Dallas Mavericks,40,25,.615,3.5,36,29,101.3,99.6
Memphis Grizzlies,16,47,.254,26.5,18,45,93.4,99.7
