Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Miami Heat,31,18,.633,—,31,18,97.3,93.7
New York Knicks,30,19,.612,1.0,27,22,92.7,91.3
Philadelphia 76ers,27,23,.540,4.5,25,25,94.4,94.6
Orlando Magic,25,26,.490,7.0,27,24,102.4,101.4
Boston Celtics,22,28,.440,9.5,21,29,97.4,99.6
New Jersey Nets,19,31,.380,12.5,23,27,97.0,98.3
Washington Wizards,15,36,.294,17.0,17,34,95.7,100.7
Indiana Pacers,34,16,.680,—,35,15,102.3,96.0
Charlotte Hornets,28,21,.571,5.5,28,21,99.6,97.6
Toronto Raptors,27,22,.551,6.5,25,24,99.1,98.6
Milwaukee Bucks,27,25,.519,8.0,27,25,103.2,102.8
Detroit Pistons,25,25,.500,9.0,26,24,103.8,103.3
Cleveland Cavaliers,21,30,.412,13.5,20,31,97.7,100.6
Atlanta Hawks,20,28,.417,13.0,21,27,99.0,100.8
Chicago Bulls,11,38,.224,22.5,9,40,85.4,94.9
San Antonio Spurs,32,18,.640,—,36,14,95.7,89.4
Utah Jazz,30,19,.612,1.5,31,18,96.0,92.3
Minnesota Timberwolves,27,22,.551,4.5,25,24,96.9,96.4
Denver Nuggets,22,28,.440,10.0,21,29,98.4,101.0
Dallas Mavericks,21,29,.420,11.0,23,27,102.0,103.3
Houston Rockets,21,30,.412,11.5,23,28,98.5,99.9
Vancouver Grizzlies,15,34,.306,16.5,17,32,93.9,98.4
Portland Trail Blazers,40,11,.784,—,39,12,97.1,89.3
Los Angeles Lakers,39,11,.780,0.5,39,11,99.2,90.5
Seattle SuperSonics,32,20,.615,8.5,28,24,98.2,97.0
Phoenix Suns,30,19,.612,9.0,32,17,99.1,94.8
Sacramento Kings,30,20,.600,9.5,29,21,105.6,103.1
Golden State Warriors,12,37,.245,27.0,13,36,95.9,102.8
Los Angeles Clippers,11,40,.216,29.0,9,42,91.8,102.8
