Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,21,9,.700,—,20,10,99.7,95.1
Atlanta Hawks,21,13,.618,2.0,19,15,102.0,100.1
Toronto Raptors,20,13,.606,2.5,20,13,99.8,96.4
Chicago Bulls,18,12,.600,3.0,16,14,101.1,100.0
Orlando Magic,19,13,.594,3.0,19,13,101.0,98.4
Miami Heat,18,13,.581,3.5,17,14,97.0,95.5
Indiana Pacers,18,13,.581,3.5,20,11,102.3,98.5
Boston Celtics,18,14,.563,4.0,20,12,103.1,99.1
Charlotte Hornets,17,14,.548,4.5,18,13,102.5,99.7
Detroit Pistons,17,15,.531,5.0,17,15,101.0,100.2
New York Knicks,15,18,.455,7.5,15,18,98.0,99.5
Washington Wizards,14,16,.467,7.0,12,18,101.5,104.4
Milwaukee Bucks,12,21,.364,10.5,10,23,97.1,103.2
Brooklyn Nets,9,23,.281,13.0,9,23,97.1,103.4
Philadelphia 76ers,3,31,.088,20.0,5,29,92.5,104.4
Golden State Warriors,29,2,.935,—,26,5,114.1,101.8
San Antonio Spurs,28,6,.824,2.5,30,4,102.0,88.6
Oklahoma City Thunder,22,10,.688,7.5,24,8,108.6,100.4
Los Angeles Clippers,20,13,.606,10.0,19,14,103.1,100.9
Dallas Mavericks,19,13,.594,10.5,18,14,102.3,100.8
Memphis Grizzlies,18,16,.529,12.5,13,21,96.4,99.4
Houston Rockets,16,17,.485,14.0,15,18,104.1,105.5
Portland Trail Blazers,14,20,.412,16.5,16,18,101.3,102.0
Utah Jazz,13,17,.433,15.5,14,16,96.6,97.3
Minnesota Timberwolves,12,20,.375,17.5,14,18,100.4,102.6
Sacramento Kings,12,20,.375,17.5,13,19,104.2,107.3
Denver Nuggets,12,21,.364,18.0,11,22,98.9,103.8
Phoenix Suns,12,22,.353,18.5,14,20,102.7,105.4
New Orleans Pelicans,10,21,.323,19.0,11,20,102.1,107.0
Los Angeles Lakers,6,27,.182,24.0,6,27,96.8,107.2
