Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,26,24,.520,—,29,21,99.4,97.1
Brooklyn Nets,23,26,.469,2.5,20,29,97.5,99.9
New York Knicks,20,31,.392,6.5,22,29,97.2,99.0
Boston Celtics,18,34,.346,9.0,19,33,95.0,98.7
Philadelphia 76ers,15,37,.288,12.0,11,41,100.7,110.3
Indiana Pacers,39,11,.780,—,38,12,98.6,90.7
Chicago Bulls,25,25,.500,14.0,24,26,92.1,92.8
Detroit Pistons,21,29,.420,18.0,21,29,100.6,102.8
Cleveland Cavaliers,18,33,.353,21.5,16,35,96.5,102.3
Milwaukee Bucks,9,41,.180,30.0,10,40,92.3,101.8
Miami Heat,35,14,.714,—,33,16,104.0,98.8
Atlanta Hawks,25,24,.510,10.0,27,22,102.1,100.8
Washington Wizards,25,25,.500,10.5,25,25,99.3,99.4
Charlotte Bobcats,22,29,.431,14.0,21,30,94.5,97.1
Orlando Magic,16,37,.302,21.0,17,36,96.3,101.6
Oklahoma City Thunder,41,12,.774,—,39,14,105.1,97.5
Portland Trail Blazers,36,15,.706,4.0,33,18,108.0,103.5
Denver Nuggets,24,25,.490,15.0,24,25,103.8,103.9
Minnesota Timberwolves,24,27,.471,16.0,32,19,105.6,101.9
Utah Jazz,17,33,.340,22.5,14,36,94.1,100.7
Los Angeles Clippers,36,18,.667,—,38,16,106.7,100.3
Phoenix Suns,30,20,.600,4.0,30,20,105.1,101.8
Golden State Warriors,30,21,.588,4.5,32,19,103.1,99.1
Los Angeles Lakers,18,33,.353,16.5,17,34,100.8,105.8
Sacramento Kings,17,34,.333,17.5,22,29,101.2,103.5
San Antonio Spurs,37,14,.725,—,36,15,103.9,97.3
Houston Rockets,34,17,.667,3.0,32,19,105.3,101.4
Dallas Mavericks,31,21,.596,6.5,30,22,104.6,102.1
Memphis Grizzlies,27,23,.540,9.5,25,25,94.9,94.9
New Orleans Pelicans,22,28,.440,14.5,22,28,99.5,101.1
