Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,20,5,.800,—,20,5,100.6,91.4
Toronto Raptors,12,17,.414,10.0,11,18,104.0,108.1
New York Knicks,9,17,.346,11.5,10,16,102.3,105.4
Philadelphia 76ers,7,20,.259,14.0,10,17,97.6,101.8
New Jersey Nets,2,26,.071,19.5,4,24,89.4,101.1
Cleveland Cavaliers,20,7,.741,—,19,8,99.4,94.0
Milwaukee Bucks,11,14,.440,8.0,13,12,98.6,98.0
Detroit Pistons,11,15,.423,8.5,11,15,93.7,95.7
Chicago Bulls,10,15,.400,9.0,6,19,91.0,98.4
Indiana Pacers,9,16,.360,10.0,9,16,98.0,101.9
Orlando Magic,20,7,.741,—,19,8,102.0,96.4
Atlanta Hawks,19,7,.731,0.5,20,6,105.3,97.0
Miami Heat,13,11,.542,5.5,12,12,98.0,97.9
Charlotte Bobcats,10,15,.400,9.0,11,14,91.2,92.5
Washington Wizards,8,17,.320,11.0,9,16,98.8,102.6
Denver Nuggets,19,8,.704,—,19,8,107.7,101.1
Utah Jazz,16,11,.593,3.0,16,11,101.3,98.8
Portland Trail Blazers,16,12,.571,3.5,18,10,96.2,92.6
Oklahoma City Thunder,13,13,.500,5.5,14,12,97.0,95.8
Minnesota Timberwolves,5,22,.185,14.0,5,22,94.0,104.3
Los Angeles Lakers,21,4,.840,—,19,6,103.7,95.1
Phoenix Suns,18,9,.667,4.0,17,10,108.9,105.1
Los Angeles Clippers,12,14,.462,9.5,11,15,95.8,97.8
Sacramento Kings,12,14,.462,9.5,12,14,104.0,104.9
Golden State Warriors,7,19,.269,14.5,9,17,106.4,111.6
Dallas Mavericks,19,8,.704,—,18,9,101.6,96.8
Houston Rockets,16,11,.593,3.0,15,12,101.3,99.6
San Antonio Spurs,14,10,.583,3.5,16,8,101.8,97.3
New Orleans Hornets,12,13,.480,6.0,10,15,98.4,101.3
Memphis Grizzlies,11,15,.423,7.5,11,15,101.7,104.4
