Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,40,26,.606,—,40,26,98.8,96.0
Brooklyn Nets,40,28,.588,1.0,38,30,95.8,94.4
Boston Celtics,36,31,.537,4.5,34,33,96.0,95.6
Philadelphia 76ers,26,41,.388,14.5,24,43,92.3,96.3
Toronto Raptors,26,42,.382,15.0,30,38,97.5,99.2
Indiana Pacers,42,26,.618,—,46,22,94.4,89.8
Chicago Bulls,36,30,.545,5.0,34,32,92.8,92.3
Milwaukee Bucks,34,33,.507,7.5,31,36,99.0,100.1
Detroit Pistons,23,46,.333,19.5,23,46,94.3,98.9
Cleveland Cavaliers,22,46,.324,20.0,25,43,97.5,101.3
Miami Heat,53,14,.791,—,50,17,103.4,95.9
Atlanta Hawks,38,30,.559,15.5,35,33,97.6,97.0
Washington Wizards,24,43,.358,29.0,28,39,92.8,95.2
Orlando Magic,18,51,.261,36.0,19,50,94.3,101.0
Charlotte Bobcats,16,52,.235,37.5,14,54,93.3,103.0
Oklahoma City Thunder,50,19,.725,—,54,15,106.4,97.3
Denver Nuggets,47,22,.681,3.0,46,23,106.1,101.1
Utah Jazz,34,34,.500,15.5,32,36,97.8,98.6
Portland Trail Blazers,31,36,.463,18.0,30,37,98.3,99.7
Minnesota Timberwolves,23,42,.354,25.0,25,40,94.4,97.8
Los Angeles Clippers,47,22,.681,—,50,19,100.8,94.2
Golden State Warriors,39,31,.557,8.5,36,34,100.4,100.2
Los Angeles Lakers,36,33,.522,11.0,37,32,102.1,101.1
Sacramento Kings,24,44,.353,22.5,23,45,99.7,104.8
Phoenix Suns,23,46,.333,24.0,21,48,94.4,100.4
San Antonio Spurs,52,16,.765,—,51,17,104.5,96.4
Memphis Grizzlies,46,21,.687,5.5,44,23,93.4,89.2
Houston Rockets,37,31,.544,15.0,41,27,106.4,103.1
Dallas Mavericks,32,36,.471,20.0,32,36,101.5,102.3
New Orleans Hornets,23,46,.333,29.5,25,44,93.9,97.8
