Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,32,19,.627,—,29,22,92.5,90.6
Miami Heat,32,20,.615,0.5,32,20,96.6,93.4
Philadelphia 76ers,28,24,.538,4.5,27,25,94.4,94.1
Orlando Magic,25,28,.472,8.0,27,26,102.1,102.0
Boston Celtics,22,31,.415,11.0,21,32,97.2,100.0
New Jersey Nets,21,32,.396,12.0,24,29,96.6,97.8
Washington Wizards,16,38,.296,17.5,19,35,96.2,100.7
Indiana Pacers,35,17,.673,—,36,16,101.6,95.8
Charlotte Hornets,30,22,.577,5.0,30,22,99.6,97.2
Toronto Raptors,27,24,.529,7.5,26,25,98.9,98.6
Milwaukee Bucks,27,27,.500,9.0,27,27,103.1,103.4
Detroit Pistons,26,26,.500,9.0,27,25,103.3,102.8
Cleveland Cavaliers,22,31,.415,13.5,20,33,97.5,100.8
Atlanta Hawks,20,30,.400,14.0,22,28,98.4,100.4
Chicago Bulls,12,39,.235,22.5,10,41,85.1,94.2
San Antonio Spurs,34,19,.642,—,38,15,96.3,90.0
Utah Jazz,32,19,.627,1.0,32,19,95.9,92.3
Minnesota Timberwolves,29,23,.558,4.5,28,24,97.2,96.1
Denver Nuggets,24,29,.453,10.0,22,31,98.2,100.8
Dallas Mavericks,22,30,.423,11.5,24,28,101.8,103.0
Houston Rockets,21,33,.389,13.5,23,31,98.6,100.5
Vancouver Grizzlies,17,36,.321,17.0,19,34,94.2,98.4
Portland Trail Blazers,43,11,.796,—,41,13,97.4,89.5
Los Angeles Lakers,42,11,.792,0.5,41,12,99.1,90.5
Seattle SuperSonics,34,21,.618,9.5,30,25,98.4,97.2
Phoenix Suns,33,19,.635,9.0,35,17,98.6,93.8
Sacramento Kings,31,22,.585,11.5,31,22,106.0,103.2
Golden State Warriors,14,38,.269,28.0,15,37,96.6,102.9
Los Angeles Clippers,11,43,.204,32.0,9,45,91.1,102.2
