Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,41,27,.603,—,47,21,95.0,89.6
Philadelphia 76ers,40,26,.606,—,39,27,96.3,93.9
Boston Celtics,38,30,.559,3.0,33,35,92.6,93.1
Orlando Magic,35,33,.515,6.0,35,33,98.8,98.4
Washington Wizards,32,35,.478,8.5,34,33,91.7,91.7
New York Knicks,30,38,.441,11.0,31,37,95.8,97.1
Miami Heat,21,47,.309,20.0,22,46,85.4,89.9
Detroit Pistons,42,24,.636,—,43,23,90.6,86.4
Indiana Pacers,40,28,.588,3.0,41,27,96.4,93.6
New Orleans Hornets,39,30,.565,4.5,39,30,93.9,92.4
Milwaukee Bucks,33,35,.485,10.0,34,34,99.2,99.4
Atlanta Hawks,27,42,.391,16.5,24,45,93.7,97.9
Chicago Bulls,24,45,.348,19.5,23,46,94.3,99.0
Toronto Raptors,21,45,.318,21.0,19,47,90.8,96.7
Cleveland Cavaliers,12,55,.179,30.5,12,55,91.1,101.9
Dallas Mavericks,51,16,.761,—,52,15,103.1,94.2
San Antonio Spurs,47,19,.712,3.5,45,21,95.3,90.2
Minnesota Timberwolves,44,26,.629,8.5,40,30,98.0,95.8
Utah Jazz,39,29,.574,12.5,41,27,95.3,92.6
Houston Rockets,35,32,.522,16.0,37,30,93.5,91.9
Memphis Grizzlies,25,42,.373,26.0,28,39,98.0,100.5
Denver Nuggets,14,54,.206,37.5,14,54,83.0,91.3
Sacramento Kings,47,21,.691,—,49,19,101.7,95.1
Portland Trail Blazers,44,24,.647,3.0,41,27,94.9,92.1
Los Angeles Lakers,38,28,.576,8.0,37,29,99.0,97.3
Phoenix Suns,35,32,.522,11.5,34,33,95.1,94.9
Golden State Warriors,33,35,.485,14.0,33,35,101.7,102.2
Seattle SuperSonics,31,36,.463,15.5,32,35,92.0,92.7
Los Angeles Clippers,22,46,.324,25.0,24,44,93.0,97.4
