Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New York Knicks,35,20,.636,—,35,20,100.2,96.3
Brooklyn Nets,34,26,.567,3.5,30,30,95.0,94.9
Boston Celtics,31,27,.534,5.5,29,29,96.1,95.9
Philadelphia 76ers,23,34,.404,13.0,21,36,92.1,95.8
Toronto Raptors,23,37,.383,14.5,26,34,97.1,98.9
Indiana Pacers,37,22,.627,—,39,20,93.9,89.6
Chicago Bulls,34,25,.576,3.0,33,26,92.7,91.2
Milwaukee Bucks,29,28,.509,7.0,27,30,98.3,99.1
Detroit Pistons,23,38,.377,15.0,25,36,94.9,97.6
Cleveland Cavaliers,20,39,.339,17.0,22,37,97.6,101.1
Miami Heat,42,14,.750,—,41,15,103.8,96.6
Atlanta Hawks,33,24,.579,9.5,31,26,97.6,96.6
Washington Wizards,18,39,.316,24.5,21,36,92.0,95.5
Orlando Magic,16,43,.271,27.5,18,41,94.3,100.2
Charlotte Bobcats,13,45,.224,30.0,12,46,93.2,102.7
Oklahoma City Thunder,42,16,.724,—,46,12,106.7,97.2
Denver Nuggets,38,22,.633,5.0,37,23,105.5,101.8
Utah Jazz,32,27,.542,10.5,29,30,98.5,98.5
Portland Trail Blazers,27,31,.466,15.0,24,34,97.2,99.8
Minnesota Timberwolves,20,36,.357,21.0,23,33,95.2,97.9
Los Angeles Clippers,43,18,.705,—,44,17,100.5,93.8
Golden State Warriors,33,27,.550,9.5,29,31,100.9,101.5
Los Angeles Lakers,29,30,.492,13.0,32,27,102.4,101.1
Phoenix Suns,21,39,.350,21.5,19,41,94.6,99.7
Sacramento Kings,20,40,.333,22.5,16,44,98.2,105.3
San Antonio Spurs,46,14,.767,—,46,14,104.7,96.1
Memphis Grizzlies,38,19,.667,6.5,36,21,93.3,89.6
Houston Rockets,32,28,.533,14.0,36,24,106.6,103.7
Dallas Mavericks,26,32,.448,19.0,27,31,101.0,102.0
New Orleans Hornets,21,39,.350,25.0,23,37,94.3,97.7
