Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,17,20,.459,—,16,21,97.5,99.4
New Jersey Nets,16,19,.457,—,17,18,96.8,97.4
New York Knicks,16,22,.421,1.5,16,22,99.9,102.5
Boston Celtics,12,23,.343,4.0,15,20,98.4,100.3
Philadelphia 76ers,10,26,.278,6.5,12,24,95.0,99.5
Cleveland Cavaliers,22,13,.629,—,21,14,95.1,92.6
Detroit Pistons,20,14,.588,1.5,20,14,96.9,94.7
Chicago Bulls,20,17,.541,3.0,24,13,99.4,95.3
Indiana Pacers,20,17,.541,3.0,17,20,95.4,96.2
Milwaukee Bucks,16,20,.444,6.5,16,20,101.9,103.4
Orlando Magic,22,15,.595,—,21,16,93.8,91.8
Washington Wizards,20,15,.571,1.0,19,16,107.9,106.6
Miami Heat,16,19,.457,5.0,12,23,94.1,98.8
Atlanta Hawks,11,23,.324,9.5,10,24,92.0,97.5
Charlotte Bobcats,11,23,.324,9.5,10,24,95.1,101.2
Utah Jazz,24,12,.667,—,21,15,101.2,98.5
Minnesota Timberwolves,18,16,.529,5.0,17,17,95.3,95.1
Denver Nuggets,17,17,.500,6.0,18,16,104.7,103.4
Portland Trail Blazers,15,23,.395,10.0,13,25,92.1,96.8
Seattle SuperSonics,14,25,.359,11.5,16,23,99.8,102.5
Phoenix Suns,27,8,.771,—,26,9,110.8,102.4
Los Angeles Lakers,24,13,.649,4.0,21,16,104.7,102.4
Golden State Warriors,18,20,.474,10.5,17,21,105.4,106.9
Los Angeles Clippers,17,19,.472,10.5,16,20,95.3,97.1
Sacramento Kings,14,19,.424,12.0,16,17,101.2,101.4
Dallas Mavericks,30,8,.789,—,28,10,99.2,92.4
San Antonio Spurs,26,11,.703,3.5,29,8,99.3,90.6
Houston Rockets,24,13,.649,5.5,26,11,95.2,89.1
New Orleans/Oklahoma City Hornets,14,22,.389,15.0,12,24,90.2,94.7
Memphis Grizzlies,9,28,.243,20.5,14,23,98.7,102.3
