Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,55,22,.714,—,56,21,112.2,104.6
Boston Celtics,53,24,.688,2.0,49,28,104.2,100.2
Cleveland Cavaliers,48,30,.615,7.5,41,37,110.5,109.6
Philadelphia 76ers,47,30,.610,8.0,48,29,109.1,105.1
Indiana Pacers,46,32,.590,9.5,43,35,105.7,104.0
Miami Heat,42,36,.538,13.5,41,37,103.3,102.7
Milwaukee Bucks,42,36,.538,13.5,39,39,106.5,106.7
Washington Wizards,42,36,.538,13.5,41,37,106.7,106.0
Detroit Pistons,37,40,.481,18.0,38,39,103.3,103.6
Charlotte Hornets,34,45,.430,22.0,38,41,107.6,108.1
Chicago Bulls,27,51,.346,28.5,23,55,103.2,109.6
New York Knicks,27,51,.346,28.5,29,49,104.1,108.0
Brooklyn Nets,25,53,.321,30.5,28,50,106.2,110.6
Orlando Magic,23,54,.299,32.0,27,50,103.7,108.2
Atlanta Hawks,22,56,.282,33.5,26,52,103.3,108.8
Houston Rockets,63,15,.808,—,59,19,113.2,104.1
Golden State Warriors,57,21,.731,6.0,55,23,113.9,107.0
Portland Trail Blazers,48,30,.615,15.0,46,32,106.1,103.3
San Antonio Spurs,45,33,.577,18.0,47,31,102.6,99.4
Utah Jazz,45,33,.577,18.0,49,29,103.8,100.2
Oklahoma City Thunder,45,34,.570,18.5,47,32,107.4,104.4
Minnesota Timberwolves,44,34,.564,19.0,44,34,109.6,107.7
New Orleans Pelicans,43,34,.558,19.5,39,38,111.1,110.9
Denver Nuggets,43,35,.551,20.0,42,36,110.2,108.9
Los Angeles Clippers,42,36,.538,21.0,41,37,109.3,108.4
Los Angeles Lakers,33,44,.429,29.5,35,42,108.2,109.7
Sacramento Kings,25,54,.316,38.5,21,58,99.1,106.4
Dallas Mavericks,24,54,.308,39.0,32,46,102.4,105.0
Memphis Grizzlies,21,56,.273,41.5,24,53,98.8,104.8
Phoenix Suns,20,59,.253,43.5,18,61,103.7,113.3
